Bnum,Object_ID
b4348,EG10460
b0473,EG10461
b1829,EG10462
b0161,EG10463
b1054,EG10464
b3041,EG10465
b4000,EG10466
b0440,EG10467
b0972,EG10468
b0973,EG10469
b0974,EG10470
b0975,EG10471
b0976,EG10472
b0977,EG10473
b2725,EG10474
b2724,EG10475
b2723,EG10476
b2722,EG10477
b2721,EG10478
b2720,EG10479
b2719,EG10480
b2718,EG10481
b4004,EG10482
b2726,EG10483
b2727,EG10484
b2728,EG10485
b2729,EG10486
b2730,EG10487
b2753,EG10488
b1136,EG10489
b2916,EG10490
b4018,EG10491
b0026,EG10492
b3772,EG10493
b3671,EG10494
b3774,EG10495
b3771,EG10496
b3770,EG10497
b3768,EG10498
b0078,EG10499
b0077,EG10500
b3769,EG10501
b3670,EG10502
b3773,EG10503
b0884,EG10504
b3168,EG10505
b1718,EG10506
b0537,EG10507
b0421,EG10508
b1732,EG10509
b2741,EG10510
b3942,EG10511
b3617,EG10512
b0698,EG10513
b0697,EG10514
b0696,EG10515
b0695,EG10516
b0694,EG10517
b1215,EG10518
b0918,EG10519
b3633,EG10520
b0047,EG10521
b2587,EG10522
b0051,EG10523
b0342,EG10524
b0345,EG10525
b0343,EG10526
b0344,EG10527
b4036,EG10528
b2569,EG10529
b2568,EG10530
b0076,EG10531
b0642,EG10532
b4043,EG10533
b2411,EG10534
b1139,EG10535
b3454,EG10536
b3455,EG10537
b3457,EG10538
b3460,EG10539
b3458,EG10540
b3456,EG10541
b0439,EG10542
b0116,EG10543
b1677,EG10544
b0181,EG10545
b0182,EG10546
b0889,EG10547
b0027,EG10548
b2838,EG10549
b4024,EG10550
b2839,EG10551
b2890,EG10552
b4129,EG10553
b4034,EG10554
b4033,EG10555
b4032,EG10556
b1620,EG10557
b4035,EG10558
b4037,EG10559
b3417,EG10560
b3416,EG10561
b3418,EG10562
b1621,EG10563
b1622,EG10564
b0403,EG10565
b1613,EG10566
b1817,EG10567
b1818,EG10568
b1819,EG10569
b0168,EG10570
b2783,EG10571
b2781,EG10572
b1159,EG10573
b4346,EG10574
b4345,EG10575
b3236,EG10576
b4119,EG10577
b4120,EG10578
b2264,EG10579
b2328,EG10580
b4013,EG10581
b3939,EG10582
b3008,EG10583
b3829,EG10584
b3941,EG10585
b2114,EG10586
b4019,EG10587
b3938,EG10588
b2942,EG10589
b3940,EG10590
b3828,EG10591
b2149,EG10592
b2150,EG10593
b2148,EG10594
b4171,EG10595
b1176,EG10596
b1175,EG10597
b1174,EG10598
b4143,EG10599
b4142,EG10600
b1890,EG10601
b1889,EG10602
b2684,EG10603
b0087,EG10604
b0149,EG10605
b0635,EG10606
b0634,EG10607
b3251,EG10608
b3250,EG10609
b3249,EG10610
b2113,EG10611
b4351,EG10612
b0914,EG10613
b1855,EG10614
b3599,EG10615
b3600,EG10616
b3161,EG10617
b0924,EG10618
b0091,EG10619
b0088,EG10620
b0085,EG10621
b0086,EG10622
b0090,EG10623
b2831,EG10624
b2733,EG10625
b0099,EG10626
b2961,EG10627
b3924,EG10628
b0543,EG10629
b0750,EG10630
b2574,EG10631
b0677,EG10632
b0678,EG10633
b0675,EG10634
b0679,EG10635
b0676,EG10636
b3225,EG10637
b1224,EG10638
b1225,EG10639
b1227,EG10640
b1226,EG10641
b1223,EG10642
b1221,EG10643
b1465,EG10644
b1466,EG10645
b1222,EG10646
b1467,EG10647
b1468,EG10648
b1109,EG10649
b2518,EG10650
b2159,EG10651
b0019,EG10652
b3365,EG10653
b3367,EG10654
b3366,EG10655
b3188,EG10656
b3661,EG10657
b2477,EG10658
b0553,EG10659
b2234,EG10660
b2235,EG10661
b1633,EG10662
b1740,EG10663
b2964,EG10664
b3169,EG10665
b0416,EG10666
b3982,EG10667
b1335,EG10668
b0957,EG10669
b2215,EG10670
b0929,EG10671
b3405,EG10672
b0565,EG10673
b1243,EG10674
b1244,EG10675
b1245,EG10676
b1246,EG10677
b1247,EG10678
b1283,EG10679
b1482,EG10680
b3961,EG10681
b3360,EG10682
b1812,EG10683
b0741,EG10684
b3258,EG10685
b3019,EG10686
b3030,EG10687
b3403,EG10688
b2743,EG10689
b0143,EG10690
b0052,EG10691
b2564,EG10693
b4260,EG10694
b0237,EG10695
b0932,EG10696
b2908,EG10697
b3847,EG10698
b3916,EG10699
b1723,EG10700
b0903,EG10701
b4025,EG10702
b2926,EG10703
b0418,EG10704
b1278,EG10705
b1912,EG10706
b2599,EG10707
b0576,EG10708
b1714,EG10709
b1713,EG10710
b4108,EG10711
b4107,EG10712
b4106,EG10713
b4105,EG10714
b4102,EG10715
b4101,EG10716
b4100,EG10717
b4099,EG10718
b4098,EG10719
b4097,EG10720
b4096,EG10721
b4095,EG10722
b4094,EG10723
b4093,EG10724
b4092,EG10725
b0383,EG10727
b0399,EG10728
b0241,EG10729
b4399,EG10730
b1130,EG10731
b1129,EG10732
b0400,EG10733
b3728,EG10734
b3724,EG10735
b0708,EG10736
b1158,EG10737
b3821,EG10738
b3825,EG10739
b4041,EG10740
b4235,EG10741
b0931,EG10742
b3164,EG10743
b1603,EG10744
b1602,EG10745
b3863,EG10746
b0060,EG10747
b3396,EG10748
b1126,EG10749
b1125,EG10750
b1124,EG10751
b1123,EG10752
b0692,EG10753
b0871,EG10754
b4226,EG10755
b3956,EG10756
b3363,EG10757
b0525,EG10758
b1702,EG10759
b1830,EG10760
b1211,EG10761
b2891,EG10762
b3935,EG10763
b4201,EG10764
b0467,EG10765
b3300,EG10766
b0243,EG10767
b0242,EG10768
b0386,EG10769
b0194,EG10770
b2677,EG10771
b2678,EG10772
b2679,EG10773
b1207,EG10774
b4160,EG10775
b1304,EG10776
b1305,EG10777
b1306,EG10778
b1307,EG10779
b1308,EG10780
b2585,EG10781
b3726,EG10782
b3725,EG10783
b3727,EG10784
b1204,EG10785
b2821,EG10786
b1101,EG10787
b2415,EG10788
b2416,EG10789
b4177,EG10790
b2476,EG10791
b4005,EG10792
b0523,EG10793
b2312,EG10794
b4006,EG10795
b0522,EG10796
b2557,EG10797
b2499,EG10798
b2500,EG10799
b1658,EG10800
b1014,EG10801
b1015,EG10802
b1854,EG10803
b1676,EG10804
b4245,EG10805
b1062,EG10806
b0945,EG10807
b3642,EG10808
b1281,EG10809
b2780,EG10810
b4244,EG10811
b0405,EG10812
b1351,EG10813
b3749,EG10814
b3751,EG10815
b3750,EG10816
b3748,EG10817
b3752,EG10818
b3753,EG10819
b1951,EG10820
b2217,EG10821
b2218,EG10822
b2699,EG10823
b2820,EG10824
b2822,EG10825
b2819,EG10826
b1350,EG10827
b3700,EG10828
b3652,EG10829
b2892,EG10830
b2616,EG10831
b2565,EG10832
b3822,EG10833
b0472,EG10834
b2784,EG10835
b1564,EG10836
b3778,EG10837
b3619,EG10838
b3842,EG10839
b3784,EG10840
b1924,EG10841
b3906,EG10842
b3905,EG10843
b3780,EG10844
b3783,EG10845
b3593,EG10846
b3482,EG10847
b0700,EG10848
b0497,EG10849
b4373,EG10850
b1066,EG10851
b0852,EG10852
b1427,EG10853
b0633,EG10854
b0641,EG10855
b0611,EG10856
b2567,EG10857
b1804,EG10858
b1084,EG10859
b0214,EG10860
b0183,EG10861
b3704,EG10862
b3643,EG10863
b3984,EG10864
b3317,EG10865
b3320,EG10866
b3319,EG10867
b3308,EG10868
b3305,EG10869
b4203,EG10870
b3985,EG10871
b3983,EG10872
b3986,EG10873
b3231,EG10874
b3310,EG10875
b3301,EG10876
b3313,EG10877
b3294,EG10878
b3304,EG10879
b2606,EG10880
b1716,EG10881
b3315,EG10882
b3318,EG10883
b3309,EG10884
b2185,EG10885
b3637,EG10886
b3312,EG10887
b3302,EG10888
b3936,EG10889
b1089,EG10890
b3636,EG10891
b3703,EG10892
b3295,EG10893
b3987,EG10894
b3988,EG10895
b3067,EG10896
b3461,EG10897
b3202,EG10898
b3649,EG10899
b0911,EG10900
b0169,EG10901
b3314,EG10902
b3296,EG10903
b3303,EG10904
b4200,EG10905
b3341,EG10906
b3306,EG10907
b3230,EG10908
b3321,EG10909
b3297,EG10910
b3342,EG10911
b3298,EG10912
b3307,EG10913
b3165,EG10914
b2609,EG10915
b3311,EG10916
b4202,EG10917
b3316,EG10918
b0023,EG10919
b3065,EG10920
b1905,EG10921
b3974,EG10922
b1863,EG10925
b2011,EG10926
b0397,EG10927
b0377,EG10928
b3917,EG10929
b1814,EG10930
b0723,EG10931
b0724,EG10932
b0721,EG10933
b0722,EG10934
b1916,EG10935
b0098,EG10936
b3609,EG10937
b0408,EG10938
b3981,EG10939
b0409,EG10940
b3591,EG10941
b3590,EG10942
b1764,EG10943
b2913,EG10944
b4388,EG10945
b0907,EG10946
b0893,EG10947
b1479,EG10948
b0146,EG10949
b4392,EG10950
b4387,EG10951
b2617,EG10952
b3908,EG10953
b1656,EG10954
b3129,EG10955
b1272,EG10956
b4063,EG10957
b4062,EG10958
b2938,EG10959
b2937,EG10960
b2965,EG10961
b0120,EG10962
b0121,EG10963
b0693,EG10964
b3648,EG10965
b3650,EG10966
b3651,EG10967
b1766,EG10968
b2703,EG10969
b2704,EG10970
b2705,EG10971
b2706,EG10972
b2708,EG10973
b2707,EG10974
b2576,EG10975
b4059,EG10976
b3229,EG10977
b3228,EG10978
b0726,EG10979
b0727,EG10980
b0728,EG10981
b0729,EG10982
b2533,EG10983
b0958,EG10984
b0053,EG10985
b3549,EG10986
b1885,EG10987
b1886,EG10988
b3118,EG10989
b3117,EG10990
b3116,EG10991
b3119,EG10992
b3616,EG10993
b1238,EG10994
b0452,EG10995
b0406,EG10996
b3706,EG10997
b0002,EG10998
b0003,EG10999
b0004,EG11000
b1719,EG11001
b2827,EG11002
b0436,EG11003
b1845,EG11004
b3708,EG11005
b3709,EG11006
b0739,EG11007
b0740,EG11008
b3035,EG11009
b0737,EG11010
b0738,EG11011
b1252,EG11012
b1274,EG11013
b1763,EG11014
b3919,EG11015
b1229,EG11016
b1197,EG11017
b1421,EG11018
b3290,EG11019
b1363,EG11020
b3849,EG11021
b3965,EG11022
b2607,EG11023
b1260,EG11024
b1261,EG11025
b1262,EG11026
b1263,EG11027
b1264,EG11028
b4393,EG11029
b3384,EG11030
b3781,EG11031
b0888,EG11032
b0170,EG11033
b4355,EG11034
b0411,EG11035
b3339,EG11036
b3980,EG11037
b1610,EG11038
b2600,EG11039
b4054,EG11040
b1907,EG11041
b1323,EG11042
b1637,EG11043
b2311,EG11044
b3831,EG11045
b3452,EG11046
b3453,EG11047
b3450,EG11048
b3451,EG11049
b3449,EG11050
b3669,EG11051
b3668,EG11052
b3667,EG11053
b3666,EG11054
b1617,EG11055
b1184,EG11056
b1183,EG11057
b2580,EG11058
b2319,EG11059
b0480,EG11060
b4058,EG11061
b0779,EG11062
b1913,EG11063
b3813,EG11064
b1521,EG11065
b4322,EG11066
b4258,EG11067
b1960,EG11068
b3811,EG11069
b2893,EG11070
b2894,EG11071
b2509,EG11072
b1749,EG11073
b3565,EG11074
b3564,EG11075
b4031,EG11076
b0020,EG11078
b0025,EG11079
b0028,EG11080
b0029,EG11081
b0030,EG11082
b0059,EG11083
b0081,EG11084
b0082,EG11085
b0083,EG11086
b0097,EG11087
b0113,EG11088
b0122,EG11089
b0159,EG11090
b0239,EG11091
b0240,EG11092
b0389,EG11093
b0398,EG11094
b0404,EG11095
b0407,EG11096
b0410,EG11097
b0422,EG11098
b0456,EG11099
b0471,EG11100
b0476,EG11101
b0477,EG11102
b0535,EG11103
b0591,EG11104
b0597,EG11105
b0707,EG11108
b0730,EG11109
b0736,EG11110
b0880,EG11111
b0885,EG11112
b0970,EG11113
b1055,EG11116
b1063,EG11117
b1086,EG11118
b1088,EG11119
b1156,EG11120
b1253,EG11121
b1254,EG11122
b1255,EG11123
b1256,EG11124
b1257,EG11125
b1258,EG11126
b1259,EG11127
b1282,EG11128
b1561,EG11129
b1562,EG11130
b1563,EG11131
b1703,EG11132
b1708,EG11133
b1765,EG11134
b1768,EG11135
b1862,EG11136
b1864,EG11137
b1865,EG11138
b1908,EG11139
b1914,EG11140
b1959,EG11141
b2230,EG11142
b2232,EG11143
b2327,EG11144
b2395,EG11145
b2405,EG11146
b2471,EG11147
b2479,EG11149
b2481,EG11150
b2597,EG11151
b2605,EG11152
b2608,EG11153
b2823,EG11154
b2824,EG11155
b2825,EG11156
b2840,EG11157
b2912,EG11158
b2923,EG11159
b2924,EG11160
b2928,EG11161
b2929,EG11162
b3036,EG11163
b3037,EG11164
b3038,EG11165
b3039,EG11166
b3040,EG11167
b3061,EG11168
b3062,EG11169
b3064,EG11171
b3115,EG11172
b3120,EG11173
b3121,EG11174
b3124,EG11175
b3125,EG11176
b3166,EG11177
b3167,EG11178
b3170,EG11179
b3291,EG11180
b3337,EG11181
b3356,EG11182
b3388,EG11183
b3448,EG11184
b3562,EG11186
b3594,EG11187
b3618,EG11188
b3621,EG11189
b3634,EG11190
b3641,EG11191
b3644,EG11192
b3645,EG11193
b3654,EG11194
b3697,EG11195
b3698,EG11196
b3705,EG11197
b3730,EG11198
b3742,EG11199
b3810,EG11201
b3812,EG11202
b3865,EG11203
b3967,EG11204
b3972,EG11205
b4011,EG11206
b4012,EG11207
b4017,EG11208
b4030,EG11209
b4109,EG11210
b4155,EG11211
b4178,EG11212
b4223,EG11213
b4360,EG11214
b4363,EG11215
b4397,EG11217
b4398,EG11218
b1419,EG11219
b1852,EG11221
b2068,EG11222
b3960,EG11223
b1947,EG11224
b4138,EG11225
b0074,EG11226
b1474,EG11227
b1475,EG11228
b1476,EG11229
b4118,EG11230
b1717,EG11231
b3299,EG11232
b1609,EG11233
b1692,EG11234
b0797,EG11235
b0315,EG11236
b3338,EG11237
b0773,EG11238
b0766,EG11239
b0897,EG11241
b0898,EG11242
b2922,EG11244
b2930,EG11245
b1333,EG11246
b2785,EG11247
b2782,EG11249
b4224,EG11250
b1214,EG11251
b0923,EG11252
b0925,EG11253
b0636,EG11254
b0637,EG11255
b0382,EG11256
b0385,EG11257
b0904,EG11258
b4179,EG11259
b3765,EG11260
b0851,EG11261
b3364,EG11262
b3322,EG11263
b0910,EG11265
b3615,EG11266
b3563,EG11267
b3288,EG11268
b2018,EG11269
b3766,EG11270
b2598,EG11271
b1715,EG11272
b0079,EG11273
b1265,EG11274
b3672,EG11275
b3707,EG11276
b0001,EG11277
b4246,EG11279
b0075,EG11280
b4170,EG11281
b2482,EG11282
b4104,EG11283
b0180,EG11284
b2554,EG11285
b3957,EG11286
b2732,EG11287
b0394,EG11288
b2147,EG11289
b2152,EG11290
b2936,EG11291
b3003,EG11292
b1209,EG11293
b1208,EG11294
b3785,EG11295
b4389,EG11296
b3860,EG11297
b3248,EG11298
b3247,EG11299
b1571,EG11300
b1572,EG11301
b1573,EG11302
b1576,EG11303
b1577,EG11304
b0627,EG11305
b0628,EG11306
b1406,EG11309
b1407,EG11310
b3260,EG11311
b3638,EG11312
b3907,EG11313
b1131,EG11314
b3253,EG11315
b3571,EG11316
b1092,EG11317
b1093,EG11318
b1236,EG11319
b0413,EG11320
b0414,EG11321
b0415,EG11322
b2909,EG11323
b2907,EG11324
b1276,EG11325
b0337,EG11326
b0336,EG11327
b2525,EG11328
b2661,EG11329
b2663,EG11330
b1277,EG11331
b2498,EG11332
b2906,EG11333
b3647,EG11334
b4390,EG11335
b2945,EG11336
b2156,EG11337
b1051,EG11338
b3631,EG11339
b3630,EG11340
b3632,EG11341
b1242,EG11342
b1053,EG11343
b1133,EG11344
b1132,EG11345
b1937,EG11346
b1938,EG11347
b3629,EG11350
b3628,EG11351
b3627,EG11352
b3626,EG11353
b2685,EG11354
b1922,EG11355
b1921,EG11356
b0799,EG11357
b3189,EG11358
b3335,EG11359
b3570,EG11360
b2064,EG11361
b0144,EG11362
b4169,EG11363
b3720,EG11364
b4396,EG11366
b2786,EG11367
b2262,EG11368
b4039,EG11369
b4040,EG11370
b2560,EG11371
b2559,EG11372
b2558,EG11373
b0142,EG11374
b2153,EG11375
b3017,EG11376
b3018,EG11377
b1684,EG11378
b0979,EG11379
b0978,EG11380
b3049,EG11381
b3209,EG11383
b0605,EG11384
b0606,EG11385
b4486,EG11386
b1927,EG11387
b1925,EG11388
b1926,EG11389
b3495,EG11390
b4376,EG11391
b1186,EG11392
b1185,EG11393
b3963,EG11394
b3964,EG11395
b3843,EG11396
b3510,EG11398
b3509,EG11399
b3508,EG11400
b0384,EG11401
b4239,EG11402
b2502,EG11403
b1203,EG11404
b0887,EG11405
b1662,EG11406
b1189,EG11407
b1190,EG11408
b0915,EG11409
b4234,EG11410
b0167,EG11411
b0640,EG11412
b4259,EG11413
b4372,EG11414
b0812,EG11415
b4238,EG11417
b2065,EG11418
b2182,EG11419
b0338,EG11421
b2237,EG11422
b3623,EG11423
b3622,EG11424
b3625,EG11425
b3624,EG11426
b2935,EG11427
b3962,EG11428
b3989,EG11429
b1128,EG11430
b2398,EG11431
b2399,EG11432
b4219,EG11433
b1531,EG11434
b1530,EG11435
b4269,EG11436
b1090,EG11437
b1087,EG11438
b2686,EG11439
b3287,EG11440
b3498,EG11441
b2905,EG11442
b2914,EG11443
b2917,EG11444
b2918,EG11445
b2696,EG11447
b4069,EG11448
b4480,EG11449
b3764,EG11450
b3786,EG11451
b3787,EG11452
b3788,EG11453
b3789,EG11454
b3790,EG11455
b3791,EG11456
b3793,EG11457
b3794,EG11458
b3795,EG11459
b2469,EG11460
b4482,EG11462
b3816,EG11463
b3817,EG11464
b3818,EG11465
b3819,EG11466
b3820,EG11467
b3823,EG11468
b3824,EG11469
b3826,EG11470
b3827,EG11471
b3832,EG11472
b3833,EG11473
b3834,EG11474
b3835,EG11476
b3839,EG11479
b4483,EG11481
b3848,EG11484
b3850,EG11485
b3792,EG11486
b1638,EG11487
b1639,EG11488
b1042,EG11489
b1493,EG11490
b4044,EG11491
b4051,EG11492
b1096,EG11493
b1097,EG11494
b3511,EG11495
b0236,EG11496
b3259,EG11497
b3262,EG11498
b3184,EG11499
b1099,EG11500
b4117,EG11501
b0196,EG11502
b0195,EG11503
b0197,EG11504
b1842,EG11505
b3178,EG11506
b3179,EG11507
b1480,EG11508
b0012,EG11509
b2501,EG11510
b0009,EG11511
b0010,EG11512
b3214,EG11514
b3215,EG11515
b1188,EG11516
b3925,EG11517
b3481,EG11519
b3483,EG11520
b0699,EG11521
b0702,EG11522
b0704,EG11523
b0706,EG11524
b3484,EG11525
b1460,EG11526
b2193,EG11527
b1288,EG11528
b3933,EG11529
b1805,EG11530
b1661,EG11531
b2261,EG11532
b1205,EG11533
b3687,EG11534
b3686,EG11535
b3685,EG11536
b1067,EG11537
b2575,EG11538
b0171,EG11539
b1004,EG11540
b3747,EG11541
b0494,EG11542
b3997,EG11543
b3512,EG11544
b1083,EG11545
b0109,EG11546
b1652,EG11547
b1653,EG11548
b1127,EG11549
b2712,EG11551
b2713,EG11552
b3176,EG11553
b2669,EG11554
b0007,EG11555
b0008,EG11556
b0036,EG11557
b0037,EG11558
b0038,EG11559
b0039,EG11560
b0040,EG11561
b0041,EG11562
b0042,EG11563
b0043,EG11564
b0044,EG11565
b0045,EG11566
b0046,EG11568
b0054,EG11569
b0055,EG11570
b0065,EG11571
b0066,EG11572
b0067,EG11573
b0068,EG11574
b0071,EG11575
b0072,EG11576
b0073,EG11577
b3406,EG11578
b0798,EG11579
b0800,EG11580
b0801,EG11581
b0507,EG11583
b3994,EG11585
b3993,EG11586
b3992,EG11587
b3991,EG11589
b3990,EG11590
b0630,EG11591
b0631,EG11592
b0629,EG11594
b0781,EG11595
b0782,EG11596
b0784,EG11597
b0785,EG11598
b1532,EG11599
b2521,EG11600
b2522,EG11601
b3053,EG11602
b3054,EG11603
b4473,EG11604
b3284,EG11605
