Object ID	Accession_1	Genes of transcription unit	Transcription_Units
TU0_12861	b0254	perR	perR
TU0_41778	b1444,b1441,b1442,b1443,b1440,b1444,b1441,b1442,b1443,b1440,b1444,b1441,b1442,b1443,b1440,b1444,b1441,b1442,b1443,b1440,b1444,b1441,b1442,b1443,b1440	patD,ydcT,ydcU,ydcV,ydcS	ydcSTUV_patD
TU0_41793	b1492	gadC	,gadC
TU0_14513	b4131	cadA	cadA
TU587	b0451,b0450,b0451,b0450	amtB,glnK	glnK_amtB
TU0_14049	b3826,b3825,b3826,b3825	yigL,pldB	yigL,pldB
TU0_13659	b2534	yfhR	yfhR
TU00238	b1768,b1767,b1768,b1767	pncA,ansA	ansA_pncA
TU0_8729	b2233	yfaL	yfaL
TU0_13273	b1450	mcbR	mcbR
TU0_12880	b0294	ecpR	matAp1,ecpR
TU0_7541	b2370,b2369,b2370,b2369	evgS,evgA	evgAS
TU0_4201	b1212,b1211,b1210,b1212,b1211,b1210,b1212,b1211,b1210	prmC,prfA,hemA	hemA_prfA_prmC
TU685	b3481	nikR	nikR
TU0_14066	b3878	yihQ	yihQ
TU0_13678	b2602	yfiL	yfiL
TU00254	b0886,b0887,b0886,b0887	cydC,cydD	cydDC
TU0_8745	b2670	alaE	alaE
TU0_13290	b1496,b1495,b1496,b1495	yddA,yddB	yddA,yddB
TU0_12896	b0326	yahL	yahL
TU0_7781	b3207	yrbL	yrbL
TU0_42452	b2502,b2501,b2502,b2501	ppx,ppk	ppk_ppx
TU0_14551	b4471,b3113,b3114,b3115,b3116,b3117,b4471,b3113,b3114,b3115,b3116,b3117,b4471,b3113,b3114,b3115,b3116,b3117,b4471,b3113,b3114,b3115,b3116,b3117,b4471,b3113,b3114,b3115,b3116,b3117,b4471,b3113,b3114,b3115,b3116,b3117	tdcG,tdcF,tdcE,tdcD,tdcC,tdcB	tdcBCDEFG
TU790	b1593,b1594,b1593,b1594	ynfK,mlc	mlc_ynfK
TU0_14087	b3935	priA	priA
TU00270	b4511,b0585,b0586,b0587,b4511,b0585,b0586,b0587,b4511,b0585,b0586,b0587,b4511,b0585,b0586,b0587	ybdZ,fes,entF,fepE	fes_ybdZ_entF_fepE
TU0_13693	b2629	yfjM	yfjM
TU0_8762	b4445	omrB	omrB
TU0_13306	b1527	yneK	yneK
TU0_12915	b0391	yaiE	yaiEp,yaiE
TU0_7962	b1201	dhaR	dhaR
TU0_42471	b4019	metH	metH
TU0_14606	b0096	lpxC	lpxCp2,lpxC
TU866	b1020	phoH	phoH
TU0_14108	b4023	yjbD	yjbD
TU00287	b3931,b3932,b3931,b3932	hslU,hslV	hslVU
TU0_13709	b2666	yqaE	yqaEp,yqaE
TU0_8782	b0839	dacC	dacC
TU0_13323	b1561	rem	rem
TU0_8148	b1453	ansP	ansP
TU0_12932	b0443	fadM	fadMp1,fadM
TU0_42495	b3189,b3190,b3189,b3190	murA,ibaG	ibaG_murA
TU0_14625	b1276	acnA	acnAp3,acnA
TU0_14126	b4077	gltP	gltP
TU00306	b1465,b1466,b1467,b1468,b1465,b1466,b1467,b1468,b1465,b1466,b1467,b1468,b1465,b1466,b1467,b1468	narV,narW,narY,narZ	narZYWV
TU0_13726	b2761	cas3	cas3
TU0_8805	b1654	grxD	grxD
TU0_13340	b1595	ynfL	ynfL
TU0_8245	b1862	yebB	yebB
TU0_12948	b0470	dnaX	dnaXp,dnaX
TU0_42517	b3766	ilvL	ilvL
TU0_14645	b2495,b2494,b2495,b2494	yfgD,bepA	bepAp2,yfgD,bepA
TU0_14143	b4146	epmB	epmB
TU00324	b2890,b2891,b2890,b2891	lysS,prfB	prfB_lysS
TU0_13743	b2813	mltA	mltA
TU0_8820	b3068	mug	mug
TU0_13357	b1647	ydhF	ydhF
TU0_8327	b3070	yqjH	yqjH
TU0_12968	b0534,b0533,b0534,b0533	sfmF,sfmH	sfmF,sfmH
TU0_42544	b4309,b4310,b4311,b4309,b4310,b4311,b4309,b4310,b4311	nanS,nanM,nanC	nanCMS
TU0_14668	b3919	tpiA	tpiAp2,tpiA
TU0_14161	b4211	ytfG	ytfG
TU00342	b2570,b2571,b2572,b2573,b2570,b2571,b2572,b2573,b2570,b2571,b2572,b2573,b2570,b2571,b2572,b2573	rseC,rseB,rseA,rpoE	rpoE_rseABC
TU0_13761	b2850	ygeF	ygeF
TU0_8836	b2982	insH_9	insH_9
TU0_13373	b1693,b1692,b1691,b1693,b1692,b1691,b1693,b1692,b1691	aroD,ydiB,ydiN	aroD,ydiB,ydiN
TU0_8345	b2731,b2730,b2729,b2728,b2727,b2731,b2730,b2729,b2728,b2727,b2731,b2730,b2729,b2728,b2727,b2731,b2730,b2729,b2728,b2727,b2731,b2730,b2729,b2728,b2727	fhlA,hypE,hypD,hypC,hypB	hypBCDE_fhlA
TU0_12987	b0579	ybdF	ybdF
TU0_42569	b0907	serC	serC
TU0_14687	b1650,b1649,b1650,b1649	nemA,nemR	nemRA
TU0_14177	b4263	yjgR	yjgR
TU00360	b0692,b0693,b0692,b0693	potE,speF	speF_potE
TU0_13778	b2875	yqeB	yqeB
TU0_8862	b3384	trpS	trpS
TU0_13390	b1762	ynjI	ynjIp,ynjI
TU0_8365	b3530,b3531,b3532,b3533,b3530,b3531,b3532,b3533,b3530,b3531,b3532,b3533,b3530,b3531,b3532,b3533	bcsC,bcsZ,bcsB,bcsA	bcsABZC
TU0_13003	b0627	tatE	tatE
TU0_42593	b1166	ariR	ariR
TU0_14716	b4611	sibE	sibE
TU0_14194	b4306	yjhP	yjhP
TU00377	b0903,b0904,b0903,b0904	pflB,focA	focA_pflB
TU0_13794	b2912,b2911,b2912,b2911	fau,ssrS	ssrS_ygfA
TU0_963	b4233	mpl	mpl
TU0_13407	b1797,b1796,b1797,b1796	yeaR,yoaG	yeaRp,yeaR,yoaG
TU0_8474	b3165	rpsO	rpsO
TU0_13021	b0682,b0681,b0682,b0681	ybfN,chiP	chiP_ybfN
TU0_4482	b0732,b0731,b0732,b0731	mngB,mngA	mngAB
TU0_14750	b0613,b0614,b0615,b0616,b0617,b0618,b0613,b0614,b0615,b0616,b0617,b0618,b0613,b0614,b0615,b0616,b0617,b0618,b0613,b0614,b0615,b0616,b0617,b0618,b0613,b0614,b0615,b0616,b0617,b0618,b0613,b0614,b0615,b0616,b0617,b0618	citG,citX,citF,citE,citD,citC	citCDEFXG
TU0_14211	b4357	lgoR	yjjMp4,lgoR
TU00393	b2669	stpA	stpA
TU0_13814	b2972	pppA	pppA
TU00014	b2155	cirA	cirA
TU0_13422	b1824,b1823,b1824,b1823	yobF,cspC	yobFp2,yobF,cspC
TU0_8491	b3493	pitA	pitA
TU0_13037	b0751,b0750,b0751,b0750	pnuC,nadA	nadAp,pnuC,nadA
TU0_4682	b4264,b4265,b4266,b4267,b4264,b4265,b4266,b4267,b4264,b4265,b4266,b4267,b4264,b4265,b4266,b4267	idnR,idnT,idnO,idnD	idnDOTR
TU0_14783	b3480,b3481,b3479,b3478,b3477,b3476,b3480,b3481,b3479,b3478,b3477,b3476,b3480,b3481,b3479,b3478,b3477,b3476,b3480,b3481,b3479,b3478,b3477,b3476,b3480,b3481,b3479,b3478,b3477,b3476,b3480,b3481,b3479,b3478,b3477,b3476	nikE,nikR,nikD,nikC,nikB,nikA	nikABCDER
TU0_14228	b3974	coaA	coaA
TU00409	b4312	fimB	fimB
TU0_13830	b3019	parC	parC
TU00030	b2241,b2242,b2243,b2241,b2242,b2243,b2241,b2242,b2243	glpA,glpB,glpC	glpABC
TU0_13439	b1853	yebK	yebK
TU0_8508	b4432	ryeA	ryeA
TU0_13053	b0803	ybiI	ybiI
TU0_4905	b1779	gapA	gapA
TU0_14805	b0154	hemL	hemL
TU0_14243	b1432	ydcM	ydcM
TU00427	b3461	rpoH	rpoH
TU0_13847	b3054,b3053,b3054,b3053	ygiF,glnE	ygiF,glnE
TU00046	b3365,b3366,b3367,b3368,b3365,b3366,b3367,b3368,b3365,b3366,b3367,b3368,b3365,b3366,b3367,b3368	nirB,nirD,nirC,cysG	nirBDC_cysG
TU0_13456	b1931	yedK	yedK
TU0_8526	b2521	sseA	sseA
TU0_13070	b4417	rybB	rybB
TU0_5061	b4013	metA	metA
TU0_1544	b1070,b1071,b1070,b1071	flgN,flgM	flgMN
TU0_14269	b2782,b2783,b2784,b2782,b2783,b2784,b2782,b2783,b2784	mazF,mazE,relA	relA_mazEF
TU00444	b2311,b2312,b2313,b2311,b2312,b2313,b2311,b2312,b2313	ubiX,purF,cvpA	cvpA_purF_ubiX
TU0_13865	b3102	yqjG	yqjG
TU00062	b2699	recA	recA
TU0_13472	b1978	yeeJ	yeeJ
TU0_8542	b4503	yafF	yafF
TU0_13086	b0909	ycaL	ycaL
TU0_5321	b2341,b2342,b2341,b2342	fadJ,fadI	fadIJ
TU0_1762	b1482	osmC	osmC
TU0_14295	b0503	ybbB	ybbB
TU00461	b0980	appA	appA
TU0_13881	b3163	nlpI	nlpI
TU00078	b2762,b2763,b2764,b2762,b2763,b2764,b2762,b2763,b2764	cysH,cysI,cysJ	cysJIH
TU0_13490	b2014	plaP	plaP
TU0_8558	b0599	ybdH	ybdH
TU0_13103	b0967	rlmI	rlmI
TU0_5581	b2963,b2962,b2963,b2962	mltC,yggX	yggX_mltC
TU_8392	b2891,b2892,b2893,b2891,b2892,b2893,b2891,b2892,b2893	prfB,recJ,dsbC	dsbC_recJ_prfB
TU0_2	b2616	recN	recN
TU0_14313	b2746,b2747,b2746,b2747	ispF,ispD	ispDF
TU00478	b3356	yhfA	yhfA
TU0_13897	b3233	yhcB	yhcBp,yhcB
TU00094	b4177	purA	purA
TU0_13507	b2089,b2088,b2089,b2088	insF_5,insE_5,insEF_5	insF_5,insE_5,insEF_5
TU0_8575	b3154	yhbP	yhbP
TU0_13119	b1033	ghrA	ghrA
TU0_5982	b3449,b3450,b3451,b3452,b3453,b3449,b3450,b3451,b3452,b3453,b3449,b3450,b3451,b3452,b3453,b3449,b3450,b3451,b3452,b3453,b3449,b3450,b3451,b3452,b3453	ugpQ,ugpC,ugpE,ugpA,ugpB	ugpBAECQ
TU_8421	b4041	plsB	plsB
TU0_2441	b4241	treR	treR
TU0_14330		tpke11	tpke11
TU00494	b2189	proL	proL
TU0_13914	b3337,b3336,b3337,b3336	bfd,bfr	bfd,bfr
TU00111	b3359	argD	argD
TU0_13524	b2123	yehR	yehRp,yehR
TU0_8592	b3585	yiaU	yiaU
TU0_13135	b1100,b1099,b1098,b1097,b1096,b1100,b1099,b1098,b1097,b1096,b1100,b1099,b1098,b1097,b1096,b1100,b1099,b1098,b1097,b1096,b1100,b1099,b1098,b1097,b1096	ycfH,holB,tmk,yceG,pabC	ycfH,holB,tmk,yceG,pabC
TU0_6404	b2156	lysP	lysP
TU0_1002	b1744,b1745,b1746,b1747,b1748,b1744,b1745,b1746,b1747,b1748,b1744,b1745,b1746,b1747,b1748,b1744,b1745,b1746,b1747,b1748,b1744,b1745,b1746,b1747,b1748	astE,astB,astD,astA,astC	astCADBE
TU0_2661	b1469	narU	narU
TU0_14349	b1067	yceH	yceH
TU00510	b1032	serX	serX
TU0_13931	b3406	greB	greB
TU00127	b3076,b3077,b3076,b3077	ebgA,ebgC	ebgAC
TU0_13542	b2158	yeiH	yeiH
TU0_8609	b4061	yjcC	yjcC
TU0_13152	b1157,b1156,b1157,b1156	stfE,tfaE	stfE,tfaE
TU0_6484	b4149	blc	blc
TU0_1161	b0186	ldcC	ldcC
TU0_3144	b3361	fic	fic
TU0_14369	b1856	mepM	yebA
TU00527	b1676	pykF	pykF
TU0_13949	b3483	yhhH	yhhH
TU00143	b0338	cynR	cynR
TU0_13559	b2210	mqo	mqo
TU0_8626	b4340	yjiR	yjiR
TU0_13168	b1173,b4521,b1173,b4521	ycgI,ymgH	ycgI,ymgH
TU0_6515	b2580	ung	ung
TU0_1198	b3494	uspB	uspB
TU0_3422	b0472,b0471,b0472,b0471	recR,ybaB	recR,ybaB,ybaBp
TU0_14390	b3251	mreB	mreB
TU21	b0742,b0741,b0740,b0742,b0741,b0740,b0742,b0741,b0740	ybgF,pal,tolB	tolB_pal_ybgF
TU0_13967	b3522	yhjD	yhjD
TU00160	b4139	aspA	aspA
TU0_13575	b2271	yfbL	yfbL
TU0_8643	b1816	yoaE	yoaE
TU0_13184	b1240,b1239,b1240,b1239	ychG_1,ychG_2	ychG_1,ychG_2
TU0_6621	b0441	ppiD	ppiD
TU0_12796	b0022,b0021,b0022,b0021	insA_1,insB_1,insAB_1	insA_1,insB_1,insAB_1
TU0_3623	b1483,b1484,b1485,b1486,b1487,b1488,b1483,b1484,b1485,b1486,b1487,b1488,b1483,b1484,b1485,b1486,b1487,b1488,b1483,b1484,b1485,b1486,b1487,b1488,b1483,b1484,b1485,b1486,b1487,b1488,b1483,b1484,b1485,b1486,b1487,b1488	ddpF,ddpD,ddpC,ddpB,ddpA,ddpX	ddpXABCDF
TU0_14412	b2779	eno	eno
TU341	b3164,b3165,b3166,b3167,b3168,b3169,b3170,b3171,b3164,b3165,b3166,b3167,b3168,b3169,b3170,b3171,b3164,b3165,b3166,b3167,b3168,b3169,b3170,b3171,b3164,b3165,b3166,b3167,b3168,b3169,b3170,b3171,b3164,b3165,b3166,b3167,b3168,b3169,b3170,b3171,b3164,b3165,b3166,b3167,b3168,b3169,b3170,b3171,b3164,b3165,b3166,b3167,b3168,b3169,b3170,b3171,b3164,b3165,b3166,b3167,b3168,b3169,b3170,b3171	pnp,rpsO,truB,rbfA,infB,nusA,rimP,metY	metY_yhbC_nusA_infB_rbfA_truB_rpsO_pnp
TU0_13985	b3573	ysaA	ysaA
TU00176	b0812	dps	dps
TU0_13591	b2315,b2314,b2315,b2314	folC,dedD	folC,dedD
TU0_8660	b3279	yrdA	yrdA
TU0_13207	b1295	ymjA	ymjA
TU0_6651	b3772	ilvA	ilvA
TU0_12813	b0119	yacL	yacLp,yacL
TU0_36423	b2911	ssrS	ssrS
TU0_14443	b0096,b0095,b0094,b0093,b0092,b0091,b0090,b0089,b0088,b0087,b0086,b0085,b0084,b0083,b0096,b0095,b0094,b0093,b0092,b0091,b0090,b0089,b0088,b0087,b0086,b0085,b0084,b0083,b0096,b0095,b0094,b0093,b0092,b0091,b0090,b0089,b0088,b0087,b0086,b0085,b0084,b0083,b0096,b0095,b0094,b0093,b0092,b0091,b0090,b0089,b0088,b0087,b0086,b0085,b0084,b0083,b0096,b0095,b0094,b0093,b0092,b0091,b0090,b0089,b0088,b0087,b0086,b0085,b0084,b0083,b0096,b0095,b0094,b0093,b0092,b0091,b0090,b0089,b0088,b0087,b0086,b0085,b0084,b0083,b0096,b0095,b0094,b0093,b0092,b0091,b0090,b0089,b0088,b0087,b0086,b0085,b0084,b0083,b0096,b0095,b0094,b0093,b0092,b0091,b0090,b0089,b0088,b0087,b0086,b0085,b0084,b0083,b0096,b0095,b0094,b0093,b0092,b0091,b0090,b0089,b0088,b0087,b0086,b0085,b0084,b0083,b0096,b0095,b0094,b0093,b0092,b0091,b0090,b0089,b0088,b0087,b0086,b0085,b0084,b0083,b0096,b0095,b0094,b0093,b0092,b0091,b0090,b0089,b0088,b0087,b0086,b0085,b0084,b0083,b0096,b0095,b0094,b0093,b0092,b0091,b0090,b0089,b0088,b0087,b0086,b0085,b0084,b0083,b0096,b0095,b0094,b0093,b0092,b0091,b0090,b0089,b0088,b0087,b0086,b0085,b0084,b0083,b0096,b0095,b0094,b0093,b0092,b0091,b0090,b0089,b0088,b0087,b0086,b0085,b0084,b0083	lpxC,ftsZ,ftsA,ftsQ,ddlB,murC,murG,ftsW,murD,mraY,murF,murE,ftsI,ftsL	ftsLI_murEF_mraY_murD_ftsW_murGC_ddlB_ftsQAZ_lpxC
TU365	b0708	phr	phr
TU0_14000	b3618	htrL	htrL
TU00192	b2551	glyA	glyA
TU0_13608	b2371	yfdE	yfdE
TU0_8679	b0959	sxy	yccR
TU0_13225	b1344	ttcA	ttcA
TU0_6861	b0078,b0077,b0078,b0077	ilvH,ilvI	ilvIH
TU0_12832	b0187	yaeR	yaeR
TU0_3721	b4067,b4068,b4069,b4067,b4068,b4069,b4067,b4068,b4069	actP,yjcH,acs	acs_yjcHG
TU0_14468	b1129,b1130,b1129,b1130	phoQ,phoP	phoPQ
TU483	b2563,b2564,b2565,b2566,b2567,b2563,b2564,b2565,b2566,b2567,b2563,b2564,b2565,b2566,b2567,b2563,b2564,b2565,b2566,b2567,b2563,b2564,b2565,b2566,b2567	acpS,pdxJ,recO,era,rnc	rnc_era_recO_pdxJ_acpS
TU0_14016	b3683,b3682,b3681,b4556,b3683,b3682,b3681,b4556,b3683,b3682,b3681,b4556,b3683,b3682,b3681,b4556	glvC,glvB,glvG,ysdC	glvC,glvB,glvG,ysdC
TU00208	b3907	rhaT	rhaT
TU0_13625	b2430,b2429,b2428,b2430,b2429,b2428,b2430,b2429,b2428	yfeW,murP,murQ	yfeW,murP,murQ
TU0_8696	b1340	smrA	ydaL
TU0_13241	b1379	hslJ	,hslJp,hslJ
TU0_7042	b2707	srlR	srlR
TU0_12848	b0224	yafK	yafK
TU0_41465	b0220	ivy	ivy
TU0_14491	b2955,b2954,b2955,b2954	yggW,rdgB	rdgB_yggW
TU525	b4669,b3767,b3772,b3771,b3770,b3769,b3768,b3766,b4669,b3767,b3772,b3771,b3770,b3769,b3768,b3766,b4669,b3767,b3772,b3771,b3770,b3769,b3768,b3766,b4669,b3767,b3772,b3771,b3770,b3769,b3768,b3766,b4669,b3767,b3772,b3771,b3770,b3769,b3768,b3766,b4669,b3767,b3772,b3771,b3770,b3769,b3768,b3766,b4669,b3767,b3772,b3771,b3770,b3769,b3768,b3766,b4669,b3767,b3772,b3771,b3770,b3769,b3768,b3766	ilvX,ilvG_1,ilvA,ilvD,ilvE,ilvM,ilvG_2,ilvL	ilvLXG_1G_2MEDA
TU0_14032	b3747	kup	kupp1,kup
TU0_13642	b4547,b2472,b2471,b4547,b2472,b2471,b4547,b2472,b2471	ypfN,dapE,yffB	yffB_dapE_ypfN
TU00222	b1243,b1244,b1245,b1246,b1247,b1243,b1244,b1245,b1246,b1247,b1243,b1244,b1245,b1246,b1247,b1243,b1244,b1245,b1246,b1247,b1243,b1244,b1245,b1246,b1247	oppA,oppB,oppC,oppD,oppF	oppABCDF
TU0_8713	b1790	yeaM	yeaM
TU0_13257	b4429	sokB	sokB
TU0_7281	b3280,b3281,b3282,b3283,b3280,b3281,b3282,b3283,b3280,b3281,b3282,b3283,b3280,b3281,b3282,b3283	yrdB,aroE,tsaC,yrdD	yrdD_rimN_aroE_yrdB
TU0_12864	b0261,b0260,b0261,b0260	mmuM,mmuP	mmuM,mmuP
TU0_13260	b1426	ydcH	ydcH
TU0_7321	b2392	mntH	mntH
TU0_12867	b0269,b0268,b0269,b0268	yagF,yagE	yagF,yagE
TU0_41802	b1536	ydeI	ydeI
TU0_14516	b0853	ybjN	ybjN
TU601	b1089,b1088,b1089,b1088	rpmF,yceD	yceD_rpmF
TU0_14052	b4483,b3839,b3838,b3836,b4483,b3839,b3838,b3836,b4483,b3839,b3838,b3836,b4483,b3839,b3838,b3836	tatD,tatC,tatB,tatA	tatABC
TU0_13662	b2545,b2544,b2545,b2544	yphC,yphB	yphC,yphB
TU00241	b2715,b2716,b2715,b2716	ascF,ascB	ascFB
TU0_8732	b2273	yfbN	yfbN
TU0_13276	b1457,b1456,b1457,b1456	ydcD,rhsE	ydcD,rhsE
TU0_12883	b0300	ykgA	ykgA
TU0_7601	b0505	allA	allA
TU0_4205	b3096,b3095,b3096,b3095	mzrA,yqjA	mzrA,yqjA,yqjAp2
TU0_14532	b3249,b3250,b3249,b3250	mreD,mreC	mreCD
TU701	b2679,b2678,b2677,b2679,b2678,b2677,b2679,b2678,b2677	proX,proW,proV	proVWX
TU0_14069	b3884,b3883,b3884,b3883	yihW,yihV	yihW,yihV
TU0_13681	b2611	ypjD	ypjD
TU00257	b1960,b1961,b1960,b1961	vsr,dcm	dcm_vsr
TU0_8748	b2869	ygeV	ygeV
TU0_13293	b1502	ydeQ	ydeQ
TU0_12901	b0354	yaiL	yaiL
TU0_7802	b1641	slyB	slyB
TU0_42456	b2696	csrA	csrA
TU0_14555	b3594	yibA	yibA
TU793	b0995	torR	torR
TU0_14090	b3944	yijF	yijF
TU00274	b1924,b1925,b1926,b1924,b1925,b1926,b1924,b1925,b1926	fliD,fliS,fliT	fliDST
TU0_13696	b2639,b2638,b2639,b2638	ypjM_3,yfjU	ypjM_3,yfjU
TU0_8765	b3665	adeD	ade
TU0_13309	b1536	ydeI	ydeI
TU0_12918	b0402,b0401,b0402,b0401	proY,brnQ	brnQp,proY,brnQ
TU0_8021	b2470	acrD	acrD
TU0_42475	b0076	leuO	leuO
TU0_1461	b3528	dctA	dctA
TU871	b0405	queA	queA
TU0_14113	b4031	xylE	xylE
TU00291	b0025,b0026,b0027,b0028,b0029,b0025,b0026,b0027,b0028,b0029,b0025,b0026,b0027,b0028,b0029,b0025,b0026,b0027,b0028,b0029,b0025,b0026,b0027,b0028,b0029	ribF,ileS,lspA,fkpB,ispH	ribF_ileS_lspA_fkpB_ispH
TU0_13712	b2681,b2680,b2681,b2680	ygaY,ygaX	ygaY,ygaX
TU0_8787	b2133	dld	dld
TU0_13326	b1565	ydfV	ydfV
TU0_8161	b0860	artJ	artJ
TU0_12935	b0446	cof	cof
TU0_42499	b1611,b1612,b1611,b1612	fumC,fumA	fumAC
TU0_14630	b1676	pykF	pykFp1,pykF
TU0_14129	b4083	yjcS	yjcS
TU00309	b2741,b2742,b2741,b2742	rpoS,nlpD	nlpD_rpoS
TU0_13729	b2770,b2769,b2770,b2769	ygcR,ygcQ	ygcR,ygcQ
TU0_8808	b4480	hdfR	hdfR
TU0_13343	b1600,b1599,b1600,b1599	mdtJ,mdtI	mdtJ,mdtI
TU0_8263	b4613	dinQ	dinQ
TU0_12953	b0479	fsr	fsr
TU0_42524	b1326,b4525,b4673,b1327,b1326,b4525,b4673,b1327,b1326,b4525,b4673,b1327,b1326,b4525,b4673,b1327	mpaA,ymjC,ymjD,ycjY	ycjY_ymjDC_mpaA
TU0_14648	b2513	yfgM	yfgMp3,yfgM
TU0_14147	b4156	yjeM	yjeM
TU00327	b2217	rcsB	rcsB
TU0_13746	b2830,b2829,b2830,b2829	rppH,ptsP	rppHp,rppH,ptsP
TU0_8823	b2324	mnmC	trmC
TU0_13360	b1660	ydhC	ydhC
TU0_8330	b1973	zinT	zinT
TU0_12971	b0541,b0540,b0541,b0540	insF_3,insE_3,insEF_3	insF_3,insE_3,insEF_3
TU0_42548	b1384	feaR	feaR
TU0_14671	b4135	yjdC	yjdCp,yjdC
TU0_14164	b4218	ytfL	ytfL
TU00346	b4200,b4201,b4202,b4203,b4200,b4201,b4202,b4203,b4200,b4201,b4202,b4203,b4200,b4201,b4202,b4203	rpsF,priB,rpsR,rplI	rpsF_priB_rpsR_rplI
TU0_13764	b2853	ygeI	ygeI
TU0_8839	b4426	mcaS	isrA
TU0_13376	b1705	ydiE	ydiE
TU0_8349	b0879	macB	macB
TU0_12990	b0582	insL_2	insL_2
TU0_42573	b1280,b1279,b1280,b1279	lapB,lapA	lapAB
TU0_14691	b2245,b2246,b2247,b2248,b2245,b2246,b2247,b2248,b2245,b2246,b2247,b2248,b2245,b2246,b2247,b2248	yfaU,yfaV,yfaW,yfaX	yfaXWVU
TU0_14180	b4274	yjgW	yjgW
TU00363	b2743,b2744,b2743,b2744	pcm,umpG	umpG_pcm
TU0_13781	b2879,b2878,b2879,b2878	ssnA,ygfK	ygfKp,ssnA,ygfK
TU0_8865	b1636,b1637,b1636,b1637	pdxY,tyrS	tyrS_pdxY
TU0_13393	b1770	ydjF	ydjF
TU0_8368	b1991,b1992,b1993,b1991,b1992,b1993,b1991,b1992,b1993	cobT,cobS,cobU	cobUST
TU0_13006	b0630	lipB	lipB
TU0_4285	b0054	lptD	imp
TU0_14719	b3515	gadW	gadW
TU0_14198	b4327	hypT	hypT
TU00380	b0903	pflB	pflB
TU0_13799	b2923	argO	argOp,argO
TU00001	b4014,b4015,b4016,b4014,b4015,b4016,b4014,b4015,b4016	aceB,aceA,aceK	aceBAK
TU0_13410	b1800	dmlA	dmlA
TU0_8477	b0526	cysS	cysS
TU0_13024	b0689	ybfP	ybfP
TU0_4502	b4085,b4086,b4087,b4088,b4089,b4085,b4086,b4087,b4088,b4089,b4085,b4086,b4087,b4088,b4089,b4085,b4086,b4087,b4088,b4089,b4085,b4086,b4087,b4088,b4089	alsE,alsC,alsA,alsB,rpiR	alsRBACE
TU0_14761	b0606,b0605,b0606,b0605	ahpF,ahpC	ahpCF
TU0_14215	b4371	rsmC	rsmC
TU00396	b1197	treA	treA
TU0_13817	b2985,b2984,b2985,b2984	yghS,yghR	yghS,yghR
TU00017	b4381,b4382,b4383,b4384,b4381,b4382,b4383,b4384,b4381,b4382,b4383,b4384,b4381,b4382,b4383,b4384	deoC,deoA,deoB,deoD	deoCABD
TU0_13426	b1832	msrC	msrC
TU0_8494	b1849	purT	purT
TU0_13040	b0761,b0760,b0761,b0760	modE,modF	modE,modF
TU0_4703	b0342,b0343,b0344,b0342,b0343,b0344,b0342,b0343,b0344	lacA,lacY,lacZ	lacZYA
TU0_14786	b4067	actP	actP
TU0_14231	b3570	bax	bax
TU00412	b4312	fimB	fimB
TU0_13833	b3023	ygiV	ygiV
TU00033	b3773	ilvY	ilvY
TU0_13442	b1868,b1867,b1868,b1867	yecE,yecD	yecE,yecD
TU0_8511	b1642	slyA	slyA
TU0_13057	b0808	ybiO	ybiO
TU0_4924	b4264	idnR	idnR
TU0_14813	b3916	pfkA	pfkA
TU0_14246	b0608	ybdR	ybdR
TU00430	b3965	trmA	trmA
TU0_13851	b3078	ygjI	ygjI
TU00049	b2215	ompC	ompC
TU0_13459	b1935	yedM	yedM
TU0_8529	b0423	thiI	thiI
TU0_13073	b0867,b0866,b0867,b0866	amiD,ybjQ	ybjQp,amiD,ybjQ
TU0_5082	b1618	uidR	uidR
TU0_1547	b1881,b1882,b1883,b1884,b1885,b1886,b1881,b1882,b1883,b1884,b1885,b1886,b1881,b1882,b1883,b1884,b1885,b1886,b1881,b1882,b1883,b1884,b1885,b1886,b1881,b1882,b1883,b1884,b1885,b1886,b1881,b1882,b1883,b1884,b1885,b1886	cheZ,cheY,cheB,cheR,tap,tar	tar_tap_cheRBYZ
TU0_14274	b3284	smg	smg
TU00447	b0882	clpA	clpA
TU0_13868	b3107,b3106,b3107,b3106	yhaL,yhaK	yhaL,yhaK
TU00065	b4059	ssb	ssb
TU0_13477	b1985	yeeO	yeeO
TU0_8545	b0219	yafV	yafV
TU0_13089	b0919	ycbJ	ycbJp,ycbJ
TU0_5402	b0403	malZ	malZ
TU0_1783	b2942	metK	metK
TU0_14299	b0020	nhaR	nhaR
TU00465	b3363	ppiA	ppiA
TU0_13884	b3184,b3183,b3184,b3183	yhbE,obgE	yhbE,obgE
TU00081	b0077,b0078,b0077,b0078	ilvI,ilvH	ilvIH
TU0_13493	b2017,b4539,b2017,b4539	yefM,yoeB	yefMp,yefM,yoeB
TU0_8561	b0644	ybeQ	ybeQ
TU0_13106	b0983,b0982,b0981,b0983,b0982,b0981,b0983,b0982,b0981	gfcE,etp,etk	gfcE,etp,etk
TU0_5661	b4345,b4346,b4345,b4346	mcrC,mcrB	mcrBC
TU_8396	b3150	yraP	yraP
TU0_2041	b0125	hpt	hpt
TU0_14316	b3535	yhjR	yhjR
TU00481	b2415,b2416,b2417,b2415,b2416,b2417,b2415,b2416,b2417	ptsH,ptsI,crr	ptsHI_crr
TU0_13900	b3239	yhcO	yhcO
