Complex	Complex_compartment	Protein	Protein_compartment	translocase_pathway
CPLX0-3970	Inner_Membrane	b1244(1)	Inner_Membrane	r
CPLX0-3970	Inner_Membrane	b1329(1)	Periplasm	s
EG11724-MONOMER	Inner_Membrane	b3714(1)	Inner_Membrane	r
TRANS-CPLX-201	Outer_Membrane	b0462(1)	Inner_Membrane	r
TRANS-CPLX-201	Outer_Membrane	b0463(1)	Inner_Membrane	pa
TRANS-CPLX-201	Outer_Membrane	b3035(1)	Outer_Membrane	sb
MHPT-MONOMER	Inner_Membrane	b0353(1)	Inner_Membrane	r
PITB-MONOMER	Inner_Membrane	b2987(1)	Inner_Membrane	r
TDCC-MONOMER	Inner_Membrane	b3116(1)	Inner_Membrane	r
COBS-MONOMER	Inner_Membrane	b1992(1)	Inner_Membrane	r
KDGT-MONOMER	Inner_Membrane	b3909(1)	Inner_Membrane	r
G7170-MONOMER	Inner_Membrane	b2257(1)	Inner_Membrane	r
ABC-10-CPLX	Inner_Membrane	b0592(1)	Periplasm	s
ABC-10-CPLX	Inner_Membrane	b0589(1)	Inner_Membrane	p
ABC-10-CPLX	Inner_Membrane	b0590(1)	Inner_Membrane	r
YGGA-MONOMER	Inner_Membrane	b2923(1)	Inner_Membrane	r
FORMATEDEHYDROGN-CPLX	Inner_Membrane	b1475(3:15.5)	Inner_Membrane	t
FORMATEDEHYDROGN-CPLX	Inner_Membrane	b1474(3:15.5)	Periplasm	t
FORMATEDEHYDROGN-CPLX	Inner_Membrane	b1476(3)	Inner_Membrane	r
EG10203-MONOMER	Inner_Membrane	b0839(1)	Inner_Membrane	r
ACYLCOADEHYDROG-MONOMER	Inner_Membrane	b0221(1)	Inner_Membrane	r
CPLX0-7630	Periplasm	b0494(4)	Periplasm	s
FUCP-MONOMER	Inner_Membrane	b2801(1)	Inner_Membrane	r
SDAC-MONOMER	Inner_Membrane	b2796(1)	Inner_Membrane	r
PANF-MONOMER	Inner_Membrane	b3258(1)	Inner_Membrane	r
G6414-MONOMER_CPLX0-1923	Outer_Membrane	b0805(1)	Outer_Membrane	sb
G6414-MONOMER_CPLX0-1923	Outer_Membrane	b1252(1)	Inner_Membrane	r
G6414-MONOMER_CPLX0-1923	Outer_Membrane	b3005(1)	Inner_Membrane	s
G6414-MONOMER_CPLX0-1923	Outer_Membrane	b3006(1)	Inner_Membrane	p
YGJE-MONOMER	Inner_Membrane	b3063(1)	Inner_Membrane	r
#DISULFOXRED-MONOMER	Periplasm	b3860(1)	Periplasm	ra
G7090-MONOMER_EG11982-MONOMER	Inner_Membrane	b2027(1)	Inner_Membrane	r
G7090-MONOMER_EG11982-MONOMER	Inner_Membrane	b2035(1)	Inner_Membrane	r
EG12267-MONOMER	Inner_Membrane	b3546(1)	Inner_Membrane	r
CPLX-154	Inner_Membrane	b3722(2)	Inner_Membrane	r
CPLX-7	Inner_Membrane	b3502(2)	Inner_Membrane	r
CPLX0-7530	Outer_Membrane	b0241(3)	Outer_Membrane	sb
AMPG-MONOMER	Inner_Membrane	b0433(1)	Inner_Membrane	p
DIMESULFREDUCT-CPLX	Inner_Membrane	b0896(1)	Inner_Membrane	r
DIMESULFREDUCT-CPLX	Inner_Membrane	b0894(1:26)	Periplasm	t
CPLX0-7533	Outer_Membrane	b2215(3)	Outer_Membrane	sb
CPLX0-7655	Outer_Membrane	b4036(3)	Outer_Membrane	sb
RPOA-MONOMER	Inner_Membrane	b2010(1)	Inner_Membrane	r
G6700-MONOMER	Outer_Membrane	b1377(1)	Outer_Membrane	sb
G7921-MONOMER	Outer_Membrane	b4311(1)	Outer_Membrane	sb
TETRAACYLDISACC4KIN-MONOMER	Inner_Membrane	b0915(1)	Inner_Membrane	r
CPLX-166	Inner_Membrane	b3599(2)	Inner_Membrane	r
G7457-MONOMER	Outer_Membrane	b2813(1)	Outer_Membrane	pla
ANSP-MONOMER	Inner_Membrane	b1453(1)	Inner_Membrane	r
NARK-MONOMER	Inner_Membrane	b1223(1)	Inner_Membrane	r
GNTP-MONOMER	Inner_Membrane	b4321(1)	Inner_Membrane	r
CPLX0-3951_G6561-MONOMER	Inner_Membrane	b1069(1)	Inner_Membrane	r
CPLX0-3951_G6561-MONOMER	Inner_Membrane	b0149(2)	Inner_Membrane	s
CPLX0-7684	Inner_Membrane	b2682(1)	Inner_Membrane	r
CPLX0-7684	Inner_Membrane	b2683(1)	Inner_Membrane	r
ATPSYN-CPLX	Inner_Membrane	b3738(1)	Inner_Membrane	p
ATPSYN-CPLX	Inner_Membrane	b3736(2)	Inner_Membrane	r
ATPSYN-CPLX	Inner_Membrane	b3731(1)	Inner_Membrane	y
ATPSYN-CPLX	Inner_Membrane	b3737(10)	Inner_Membrane	r
CPLX0-7641	Inner_Membrane	b3915(2)	Inner_Membrane	r
PUTP-MONOMER	Inner_Membrane	b1015(1)	Inner_Membrane	r
NACMURLALAAMI1-MONOMER	Periplasm	b2435(1:20)	Periplasm	t
YIDK-MONOMER	Inner_Membrane	b3679(1)	Inner_Membrane	r
CPLX0-7532	Inner_Membrane	b0451(3)	Inner_Membrane	r
METNIQ-METHIONINE-ABC-CPLX	Inner_Membrane	b0197(1)	Inner_Membrane	pa
METNIQ-METHIONINE-ABC-CPLX	Inner_Membrane	b0198(1)	Inner_Membrane	r
EG10341-MONOMER	Inner_Membrane	b0084(1)	Inner_Membrane	r
ABC-53-CPLX	Inner_Membrane	b4261(1)	Inner_Membrane	r
ABC-53-CPLX	Inner_Membrane	b4262(1)	Inner_Membrane	r
ABC-53-CPLX	Inner_Membrane	b3199(1)	Inner_Membrane	r
ABC-53-CPLX	Inner_Membrane	b3200(1)	Periplasm	s
XASA-MONOMER	Inner_Membrane	b1492(1)	Inner_Membrane	r
CYCA-MONOMER	Inner_Membrane	b4208(1)	Inner_Membrane	r
GLUCOSE-1-PHOSPHAT-CPLX	Periplasm	b1002(2)	Periplasm	s
B2975-MONOMER	Inner_Membrane	b2975(1)	Inner_Membrane	r
ABC-19-CPLX	Inner_Membrane	b0764(2)	Inner_Membrane	r
ABC-19-CPLX	Inner_Membrane	b0763(1)	Periplasm	s
ABC-6-CPLX	Inner_Membrane	b0887(2)	Inner_Membrane	p
ABC-6-CPLX	Inner_Membrane	b0886(2)	Inner_Membrane	r
CPLX0-7642	Inner_Membrane	b4111(2)	Inner_Membrane	r
EG12134-MONOMER	Inner_Membrane	b0813(1)	Inner_Membrane	p
CARDIOLIPSYN-MONOMER	Inner_Membrane	b1249(1)	Inner_Membrane	r
ABC-16-CPLX	Inner_Membrane	b4034(1)	Periplasm	s
ABC-16-CPLX	Inner_Membrane	b4033(1)	Inner_Membrane	r
ABC-16-CPLX	Inner_Membrane	b4032(1)	Inner_Membrane	r
G7814-MONOMER	Outer_Membrane	b3875(1)	Outer_Membrane	sb
CPLX0-1923_EG10155-MONOMER	Outer_Membrane	b3005(1)	Inner_Membrane	s
CPLX0-1923_EG10155-MONOMER	Outer_Membrane	b1252(1)	Inner_Membrane	r
CPLX0-1923_EG10155-MONOMER	Outer_Membrane	b2155(1)	Outer_Membrane	sb
CPLX0-1923_EG10155-MONOMER	Outer_Membrane	b3006(1)	Inner_Membrane	p
EG11671-MONOMER	Inner_Membrane	b2223(1)	Inner_Membrane	r
ABC-46-CPLX	Inner_Membrane	b4231(1)	Inner_Membrane	r
ABC-46-CPLX	Inner_Membrane	b4227(1)	Periplasm	s
ABC-46-CPLX	Inner_Membrane	b4230(2)	Inner_Membrane	r
CPLX0-1943	Outer_Membrane	b4291(1)	Outer_Membrane	sb
CPLX0-1943	Outer_Membrane	b1252(1)	Inner_Membrane	r
CPLX0-1943	Outer_Membrane	b3005(1)	Inner_Membrane	s
CPLX0-1943	Outer_Membrane	b3006(1)	Inner_Membrane	p
YJIZ-MONOMER	Inner_Membrane	b4356(1)	Inner_Membrane	r
ABC-9-CPLX	Inner_Membrane	b4290(1)	Periplasm	s
ABC-9-CPLX	Inner_Membrane	b4288(1)	Inner_Membrane	r
ABC-9-CPLX	Inner_Membrane	b4289(1)	Inner_Membrane	r
FEOB-MONOMER	Inner_Membrane	b3409(1)	Inner_Membrane	r
TMAOREDUCTI-CPLX	Inner_Membrane	b0996(1)	Inner_Membrane	s
TMAOREDUCTI-CPLX	Inner_Membrane	b0997(2:27)	Periplasm	t
GLCNACPTRANS-MONOMER	Inner_Membrane	b3784(1)	Inner_Membrane	r
YICE-MONOMER	Inner_Membrane	b3654(1)	Inner_Membrane	r
ABC-59-CPLX	Inner_Membrane	b1487(1)	Periplasm	s
ABC-59-CPLX	Inner_Membrane	b1486(1)	Inner_Membrane	r
ABC-59-CPLX	Inner_Membrane	b1485(1)	Inner_Membrane	r
EG10544-MONOMER	Outer_Membrane	b1677(1)	Outer_Membrane	pla
NACMURLALAAMI2-MONOMER	Periplasm	b4169(1)	Periplasm	s
ABC-64-CPLX	Inner_Membrane	b0365(1)	Periplasm	s
ABC-64-CPLX	Inner_Membrane	b0367(2)	Inner_Membrane	r
FOCB-MONOMER	Inner_Membrane	b2492(1)	Inner_Membrane	r
CPLX0-1924	Outer_Membrane	b3966(1)	Outer_Membrane	sb
CPLX0-1924	Outer_Membrane	b1252(1)	Inner_Membrane	r
CPLX0-1924	Outer_Membrane	b3005(1)	Inner_Membrane	s
CPLX0-1924	Outer_Membrane	b3006(1)	Inner_Membrane	p
EG10374-MONOMER	Periplasm	b3447(1)	Periplasm	s
G6657-MONOMER	Outer_Membrane	b1319(1)	Outer_Membrane	sb
YHFM-MONOMER	Inner_Membrane	b3370(1)	Inner_Membrane	r
YADQ-MONOMER	Inner_Membrane	b0155(1)	Inner_Membrane	r
LACY-MONOMER	Inner_Membrane	b0343(1)	Inner_Membrane	r
EG11674-MONOMER	Inner_Membrane	b3059(1)	Inner_Membrane	r
YIDT-MONOMER	Inner_Membrane	b3691(1)	Inner_Membrane	r
TatA_MONOMER	Inner_Membrane	b3836(1)	Inner_Membrane	r
TatE_MONOMER	Inner_Membrane	b0627(1)	Inner_Membrane	r
TatBC_octa	Inner_Membrane	b3838(8)	Inner_Membrane	r
TatBC_octa	Inner_Membrane	b3839(8)	Inner_Membrane	p
Sec-CPLX	Inner_Membrane	b3300(1)	Inner_Membrane	r
Sec-CPLX	Inner_Membrane	b3981(1)	Inner_Membrane	r
Sec-CPLX	Inner_Membrane	b3175(1)	Inner_Membrane	r
Sec-CPLX	Inner_Membrane	b0408(1)	Inner_Membrane	r
Sec-CPLX	Inner_Membrane	b0409(1)	Inner_Membrane	r
SecYE-CPLX	Inner_Membrane	b3300(1)	Inner_Membrane	r
SecYE-CPLX	Inner_Membrane	b3981(1)	Inner_Membrane	r
SecYE-CPLX	Inner_Membrane	b0408(1)	Inner_Membrane	r
SecYE-CPLX	Inner_Membrane	b0409(1)	Inner_Membrane	r
LolA_MONOMER	Periplasm	b0891(1)	Periplasm	s
LolB_MONOMER	Outer_Membrane	b1209(1)	Outer_Membrane	pla
LolCDE-CPLX	Inner_Membrane	b1116(2)	Inner_Membrane	r
LolCDE-CPLX	Inner_Membrane	b1118(1)	Inner_Membrane	r
Bam-CPLX	Outer_Membrane	b0177(1)	Outer_Membrane	sb
Bam-CPLX	Outer_Membrane	b2512(1)	Outer_Membrane	pla
Bam-CPLX	Outer_Membrane	b2477(1)	Outer_Membrane	pla
Bam-CPLX	Outer_Membrane	b2595(1)	Outer_Membrane	pla
Bam-CPLX	Outer_Membrane	b2617(1)	Outer_Membrane	pla
BamAD-CPLX	Outer_Membrane	b0177(1)	Outer_Membrane	sb
BamAD-CPLX	Outer_Membrane	b2595(1)	Outer_Membrane	pla
YidC_MONOMER	Inner_Membrane	b3705(1)	Inner_Membrane	ra
SurA_MONOMER	Periplasm	b0053(1)	Periplasm	s
Lgt_MONOMER	Inner_Membrane	b2828(1)	Inner_Membrane	r
LspA_MONOMER	Inner_Membrane	b0027(1)	Inner_Membrane	r
#LepB_MONOMER	Inner_Membrane	b2568(1)	Inner_Membrane	ra
ARGDECARBOXBIO-CPLX	Periplasm	b2938(4:25)	Periplasm	t
