Modified_enzyme	Core_enzyme	Modifications	Source
4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER_mod_mg2	4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER	mg2()	M_protein_recon
EG10043-MONOMER_mod_mg2	EG10043-MONOMER	mg2()	M_protein_recon
EG12440-MONOMER_mod_mg2	EG12440-MONOMER	mg2()	M_protein_recon
ValS_mono_mod_mg2	ValS_mono	mg2()	M_protein_recon
PSERPHOSPHA-MONOMER_mod_mg2	PSERPHOSPHA-MONOMER	mg2()	M_protein_recon
PRPPSYN-MONOMER_mod_mg2_mod_pi	PRPPSYN-MONOMER	mg2() AND pi()	M_protein_recon
PRPPSYN-MONOMER_mod_mn2_mod_pi	PRPPSYN-MONOMER	mn2() AND pi()	M_protein_recon
GPH-MONOMER_mod_mg2_mod_cl	GPH-MONOMER	mg2() AND cl()	M_protein_recon
CDPDIGLYSYN-MONOMER_mod_mg2_mod_k	CDPDIGLYSYN-MONOMER	mg2() AND k()	M_protein_recon
Fmt_mono_mod_mg2_mod_k	Fmt_mono	mg2() AND k()	M_protein_recon
CPLX0-7525_mod_mg2_mod_mn2_mod_thmpp	CPLX0-7525	mg2() AND mn2() AND thmpp()	M_protein_recon
3-ISOPROPYLMALDEHYDROG-CPLX_mod_mg2_mod_mn2	3-ISOPROPYLMALDEHYDROG-CPLX	mg2() AND mn2()	M_protein_recon
GltX_mono_mod_mg2_mod_1:zn2	GltX_mono	mg2() AND zn2(1)	M_protein_recon
GLYOCARBOLIG-CPLX_mod_mg2_mod_thmpp_mod_fad	GLYOCARBOLIG-CPLX	mg2() AND thmpp() AND fad()	M_protein_recon
CPLX0-234_mod_mg2	CPLX0-234	mg2()	M_protein_recon
CPLX0-234_mod_mn2	CPLX0-234	mn2()	M_protein_recon
CPLX0-234_mod_cobalt2	CPLX0-234	cobalt2()	M_protein_recon
CPLX0-238_mod_mg2	CPLX0-238	mg2()	M_protein_recon
CPLX0-243_mod_mg2	CPLX0-243	mg2()	M_protein_recon
CPLX0-3482_mod_mg2	CPLX0-3482	mg2()	M_protein_recon
CPLX0-3721_mod_mg2	CPLX0-3721	mg2()	M_protein_recon
CPLX0-3841_mod_mg2	CPLX0-3841	mg2()	M_protein_recon
CPLX0-3948_mod_mg2	CPLX0-3948	mg2()	M_protein_recon
CPLX0-682_mod_mg2	CPLX0-682	mg2()	M_protein_recon
CPLX0-7426_mod_mg2	CPLX0-7426	mg2()	M_protein_recon
CPLX0-7615_mod_mg2	CPLX0-7615	mg2()	M_protein_recon
CPLX0-7692_mod_mg2	CPLX0-7692	mg2()	M_protein_recon
CPLX0-7704_mod_mg2	CPLX0-7704	mg2()	M_protein_recon
CPLX0-7709_mod_mg2	CPLX0-7709	mg2()	M_protein_recon
CPLX0-7744_mod_mg2	CPLX0-7744	mg2()	M_protein_recon
CPLX0-7826_mod_mg2	CPLX0-7826	mg2()	M_protein_recon
CTPSYN-CPLX_mod_mg2	CTPSYN-CPLX	mg2()	M_protein_recon
DETHIOBIOTIN-SYN-CPLX_mod_mg2	DETHIOBIOTIN-SYN-CPLX	mg2()	M_protein_recon
DGTPTRIPHYDRO-CPLX_mod_mg2	DGTPTRIPHYDRO-CPLX	mg2()	M_protein_recon
DIOHBUTANONEPSYN-CPLX_mod_mg2	DIOHBUTANONEPSYN-CPLX	mg2()	M_protein_recon
Eno_dim_mod_4:mg2	Eno_dim	mg2(4)	M_protein_recon
F16B-CPLX_mod_mg2	F16B-CPLX	mg2()	M_protein_recon
GLUC1PADENYLTRANS-CPLX_mod_mg2	GLUC1PADENYLTRANS-CPLX	mg2()	M_protein_recon
GLUCONOKINII-CPLX_mod_mg2	GLUCONOKINII-CPLX	mg2()	M_protein_recon
GLUTATHIONE-SYN-CPLX_mod_mg2	GLUTATHIONE-SYN-CPLX	mg2()	M_protein_recon
GLUTKIN-CPLX_mod_mg2	GLUTKIN-CPLX	mg2()	M_protein_recon
H2PTEROATESYNTH-CPLX_mod_mg2	H2PTEROATESYNTH-CPLX	mg2()	M_protein_recon
His_RS_dim_mod_4:mg2	His_RS_dim	mg2(4)	M_protein_recon
KDO-8PPHOSPHAT-CPLX_mod_mg2	KDO-8PPHOSPHAT-CPLX	mg2()	M_protein_recon
MENE-CPLX_mod_mg2	MENE-CPLX	mg2()	M_protein_recon
MENF-CPLX_mod_mg2	MENF-CPLX	mg2()	M_protein_recon
NAG1P-URIDYLTRANS-CPLX_mod_mg2	NAG1P-URIDYLTRANS-CPLX	mg2()	M_protein_recon
OROPRIBTRANS-CPLX_mod_mg2	OROPRIBTRANS-CPLX	mg2()	M_protein_recon
PANTOTHENATE-KIN-CPLX_mod_mg2	PANTOTHENATE-KIN-CPLX	mg2()	M_protein_recon
PEPCARBOX-CPLX_mod_mg2	PEPCARBOX-CPLX	mg2()	M_protein_recon
PEPSYNTH-CPLX_mod_mg2	PEPSYNTH-CPLX	mg2()	M_protein_recon
PPX-CPLX_mod_mg2	PPX-CPLX	mg2()	M_protein_recon
PRPPAMIDOTRANS-CPLX_mod_mg2	PRPPAMIDOTRANS-CPLX	mg2()	M_protein_recon
QUINOPRIBOTRANS-CPLX_mod_mg2	QUINOPRIBOTRANS-CPLX	mg2()	M_protein_recon
THYMIDYLATESYN-CPLX_mod_mg2	THYMIDYLATESYN-CPLX	mg2()	M_protein_recon
UPPSYN-CPLX_mod_mg2	UPPSYN-CPLX	mg2()	M_protein_recon
H2PTERIDINEPYROPHOSPHOKIN-MONOMER_mod_mg2	H2PTERIDINEPYROPHOSPHOKIN-MONOMER	mg2()	M_protein_recon
DXPREDISOM-CPLX_mod_mn2	DXPREDISOM-CPLX	mn2()	M_protein_recon
DXPREDISOM-CPLX_mod_cobalt2	DXPREDISOM-CPLX	cobalt2()	M_protein_recon
DXPREDISOM-CPLX_mod_mg2	DXPREDISOM-CPLX	mg2()	M_protein_recon
MALIC-NAD-CPLX_mod_mn2	MALIC-NAD-CPLX	mn2()	M_protein_recon
MALIC-NAD-CPLX_mod_mg2	MALIC-NAD-CPLX	mg2()	M_protein_recon
MALIC-NADP-CPLX_mod_mn2	MALIC-NADP-CPLX	mn2()	M_protein_recon
MALIC-NADP-CPLX_mod_mg2	MALIC-NADP-CPLX	mg2()	M_protein_recon
SUPEROX-DISMUTMN-CPLX_mod_mn2	SUPEROX-DISMUTMN-CPLX	mn2()	M_protein_recon
AGMATIN-CPLX_mod_2:mn2	AGMATIN-CPLX	mn2(2)	M_protein_recon
ALPHAGALACTOSID-CPLX_mod_mn2	ALPHAGALACTOSID-CPLX	mn2()	M_protein_recon
EG12115-MONOMER_mod_mn2	EG12115-MONOMER	mn2()	M_protein_recon
PPENTOMUT-MONOMER_mod_mn2	PPENTOMUT-MONOMER	mn2()	M_protein_recon
TRANSKETOI-CPLX_mod_thmpp_mod_mn2_mod_mg2	TRANSKETOI-CPLX	thmpp() AND mn2() AND mg2()	M_protein_recon
EG10626-MONOMER_mod_mn2_mod_mg2	EG10626-MONOMER	mn2() AND mg2()	M_protein_recon
ARABISOM-CPLX_mod_mn2	ARABISOM-CPLX	mn2()	M_protein_recon
CPLX0-1683_mod_mn2	CPLX0-1683	mn2()	M_protein_recon
CPLX0-303_mod_mn2	CPLX0-303	mn2()	M_protein_recon
CPLX0-721_mod_mn2	CPLX0-721	mn2()	M_protein_recon
CPLX0-7631_mod_mn2	CPLX0-7631	mn2()	M_protein_recon
CPLX0-7776_mod_mn2	CPLX0-7776	mn2()	M_protein_recon
CPLX0-7808_mod_mn2	CPLX0-7808	mn2()	M_protein_recon
CPLX0-7848_mod_mn2	CPLX0-7848	mn2()	M_protein_recon
CPLX-7524_mod_mn2	CPLX-7524	mn2()	M_protein_recon
GLUTAMINESYN-OLIGOMER_mod_mn2	GLUTAMINESYN-OLIGOMER	mn2()	M_protein_recon
HISTDEHYD-CPLX_mod_mn2	HISTDEHYD-CPLX	mn2()	M_protein_recon
XYLISOM-CPLX_mod_mn2	XYLISOM-CPLX	mn2()	M_protein_recon
EG10124-MONOMER_mod_bmocogdp	EG10124-MONOMER	bmocogdp()	M_protein_recon
CPLX0-3681_mod_nadp	CPLX0-3681	nadp()	M_protein_recon
CPLX0-7564_mod_nadph_mod_nadh_mod_fad_mod_cobalt2	CPLX0-7564	nadph() AND nadh() AND fad() AND cobalt2()	M_protein_recon
GLYOXI-CPLX_mod_ni2	GLYOXI-CPLX	ni2()	M_protein_recon
CPLX0-7838_mod_pydx5p	CPLX0-7838	pydx5p()	M_protein_recon
DIAMINOPIMDECARB-CPLX_mod_pydx5p	DIAMINOPIMDECARB-CPLX	pydx5p()	M_protein_recon
CPLX0-743_mod_thmpp	CPLX0-743	thmpp()	M_protein_recon
G6701-MONOMER_mod_thmpp	G6701-MONOMER	thmpp()	M_protein_recon
HOMOCYSMETB12-MONOMER_mod_zn2_mod_cbl1	HOMOCYSMETB12-MONOMER	zn2() AND cbl1()	M_protein_recon
Ala_RS_tetra_mod_4:zn2	Ala_RS_tetra	zn2(4)	M_protein_recon
ADHC-CPLX_mod_zn2	ADHC-CPLX	zn2()	M_protein_recon
ACETYLORNDEACET-CPLX_mod_zn2	ACETYLORNDEACET-CPLX	zn2()	M_protein_recon
CPLX0-7521_mod_zn2	CPLX0-7521	zn2()	M_protein_recon
CysS_mono_mod_1:zn2	CysS_mono	zn2(1)	M_protein_recon
G7502-MONOMER_mod_zn2	G7502-MONOMER	zn2()	M_protein_recon
HOMOCYSMET-MONOMER_mod_zn2	HOMOCYSMET-MONOMER	zn2()	M_protein_recon
CPLX-64_mod_cobalt2_mod_zn2	CPLX-64	cobalt2() AND zn2()	M_protein_recon
CPLX-64_mod_mn2_mod_zn2	CPLX-64	mn2() AND zn2()	M_protein_recon
CPLX-64_mod_ni2_mod_zn2	CPLX-64	ni2() AND zn2()	M_protein_recon
CPLX0-3161_mod_zn2_mod_cobalt2	CPLX0-3161	zn2() AND cobalt2()	M_protein_recon
CYTDEAM-MONOMER_mod_fe2_mod_zn2	CYTDEAM-MONOMER	fe2() AND zn2()	M_protein_recon
CYTDEAM-MONOMER_mod_mn2_mod_zn2	CYTDEAM-MONOMER	mn2() AND zn2()	M_protein_recon
CYTDEAM-MONOMER_mod_cobalt2_mod_zn2	CYTDEAM-MONOMER	cobalt2() AND zn2()	M_protein_recon
EG11095-MONOMER_mod_zn2_mod_fe2_mod_cobalt2_mod_mg2_mod_mn2	EG11095-MONOMER	zn2() AND fe2() AND cobalt2() AND mg2() AND mn2()	M_protein_recon
IPPISOM-MONOMER_mod_mg2_mod_zn2	IPPISOM-MONOMER	mg2() AND zn2()	M_protein_recon
IPPISOM-MONOMER_mod_mn2_mod_zn2	IPPISOM-MONOMER	mn2() AND zn2()	M_protein_recon
DIHYDROOROT-CPLX_mod_2:zn2	DIHYDROOROT-CPLX	zn2(2)	M_protein_recon
CPLX0-3061_mod_zn2	CPLX0-3061	zn2()	M_protein_recon
CPLX0-7633_mod_zn2	CPLX0-7633	zn2()	M_protein_recon
CYTIDEAM-CPLX_mod_zn2	CYTIDEAM-CPLX	zn2()	M_protein_recon
DUTP-PYROP-CPLX_mod_zn2	DUTP-PYROP-CPLX	zn2()	M_protein_recon
FOLE-CPLX_mod_zn2	FOLE-CPLX	zn2()	M_protein_recon
Met_RS_dim_mod_2:zn2	Met_RS_dim	zn2(2)	M_protein_recon
NAG6PDEACET-CPLX_mod_zn2	NAG6PDEACET-CPLX	zn2()	M_protein_recon
PORPHOBILSYNTH-CPLX_mod_zn2	PORPHOBILSYNTH-CPLX	zn2()	M_protein_recon
RIBULPEPIM-CPLX_mod_zn2	RIBULPEPIM-CPLX	zn2()	M_protein_recon
Thr_RS_dim_mod_zn2	Thr_RS_dim	zn2()	M_protein_recon
IleS_mono_mod_2:zn2	IleS_mono	zn2(2)	M_protein_recon
GLYOXII-MONOMER_mod_zn2	GLYOXII-MONOMER	zn2()	M_protein_recon
CPLX0-7760_mod_4fe4s	CPLX0-7760	4fe4s()	M_protein_recon
CPLX0-7761_mod_4fe4s	CPLX0-7761	4fe4s()	M_protein_recon
DIHYDROXYACIDDEHYDRAT-CPLX_mod_4fe4s	DIHYDROXYACIDDEHYDRAT-CPLX	4fe4s()	M_protein_recon
FUMARASE-A_mod_4fe4s	FUMARASE-A	4fe4s()	M_protein_recon
FUMARASE-B_mod_4fe4s	FUMARASE-B	4fe4s()	M_protein_recon
HEMN-MONOMER_mod_4fe4s	HEMN-MONOMER	4fe4s()	M_protein_recon
BIOTIN-SYN-CPLX_mod_4fe4s_mod_2fe2s	BIOTIN-SYN-CPLX	4fe4s() AND 2fe2s()	M_protein_recon
OHMETHYLBILANESYN-MONOMER_mod_dpm	OHMETHYLBILANESYN-MONOMER	dpm()	M_protein_recon
DIHYDROPTERIREDUCT-CPLX_mod_fad	DIHYDROPTERIREDUCT-CPLX	fad()	M_protein_recon
GLUTATHIONE-REDUCT-NADPH-CPLX_mod_fad	GLUTATHIONE-REDUCT-NADPH-CPLX	fad()	M_protein_recon
SARCOX-MONOMER_mod_fad	SARCOX-MONOMER	fad()	M_protein_recon
GALPMUT-MONOMER_mod_fad	GALPMUT-MONOMER	fad()	M_protein_recon
DLACTDEHYDROGFAD-MONOMER_mod_fad	DLACTDEHYDROGFAD-MONOMER	fad()	M_protein_recon
L-ASPARTATE-OXID-MONOMER_mod_fad	L-ASPARTATE-OXID-MONOMER	fad()	M_protein_recon
UDPNACETYLMURAMATEDEHYDROG-MONOMER_mod_fad	UDPNACETYLMURAMATEDEHYDROG-MONOMER	fad()	M_protein_recon
EG10456-MONOMER_mod_fad_mod_pheme	EG10456-MONOMER	fad() AND pheme()	M_protein_recon
PDXH-CPLX_mod_fmn	PDXH-CPLX	fmn()	M_protein_recon
L-LACTDEHYDROGFMN-MONOMER_mod_fmn	L-LACTDEHYDROGFMN-MONOMER	fmn()	M_protein_recon
HYDROPEROXIDII-CPLX_mod_6:hemed	HYDROPEROXIDII-CPLX	hemed(6)	M_protein_recon
DTDPGLUCDEHYDRAT-CPLX_mod_nad	DTDPGLUCDEHYDRAT-CPLX	nad()	M_protein_recon
UDPGLUCEPIM-CPLX_mod_nad	UDPGLUCEPIM-CPLX	nad()	M_protein_recon
HYDROPEROXIDI-CPLX_mod_pheme	HYDROPEROXIDI-CPLX	pheme()	M_protein_recon
ADCLY-CPLX_mod_pydx	ADCLY-CPLX	pydx()	M_protein_recon
ARGDECARBOXDEG-CPLX_mod_pydx5p	ARGDECARBOXDEG-CPLX	pydx5p()	M_protein_recon
O-SUCCHOMOSERLYASE-CPLX_mod_pydx5p	O-SUCCHOMOSERLYASE-CPLX	pydx5p()	M_protein_recon
ACSERLYA-CPLX_mod_2:pydx5p	ACSERLYA-CPLX	pydx5p(2)	M_protein_recon
GABATRANSAM-CPLX_mod_pydx5p	GABATRANSAM-CPLX	pydx5p()	M_protein_recon
VALINE-PYRUVATE-AMINOTRANSFER-MONOMER_mod_pydx5p	VALINE-PYRUVATE-AMINOTRANSFER-MONOMER	pydx5p()	M_protein_recon
ACSERLYB-CPLX_mod_pydx5p	ACSERLYB-CPLX	pydx5p()	M_protein_recon
AKBLIG-CPLX_mod_pydx5p	AKBLIG-CPLX	pydx5p()	M_protein_recon
CPLX0-1401_mod_pydx5p	CPLX0-1401	pydx5p()	M_protein_recon
CPLX0-7465_mod_pydx5p	CPLX0-7465	pydx5p()	M_protein_recon
DAPASYN-CPLX_mod_pydx5p	DAPASYN-CPLX	pydx5p()	M_protein_recon
DCYSDESULF-CPLX_mod_pydx5p	DCYSDESULF-CPLX	pydx5p()	M_protein_recon
GLUTDECARBOXA-CPLX_mod_pydx5p	GLUTDECARBOXA-CPLX	pydx5p()	M_protein_recon
GLUTDECARBOXB-CPLX_mod_pydx5p	GLUTDECARBOXB-CPLX	pydx5p()	M_protein_recon
GLYCOPHOSPHORYL-CPLX_mod_pydx5p	GLYCOPHOSPHORYL-CPLX	pydx5p()	M_protein_recon
GSAAMINOTRANS-CPLX_mod_pydx5p	GSAAMINOTRANS-CPLX	pydx5p()	M_protein_recon
HISTPHOSTRANS-CPLX_mod_pydx5p	HISTPHOSTRANS-CPLX	pydx5p()	M_protein_recon
LDC2-CPLX_mod_pydx5p	LDC2-CPLX	pydx5p()	M_protein_recon
LYSDECARBOX-CPLX_mod_pydx5p	LYSDECARBOX-CPLX	pydx5p()	M_protein_recon
MALDEXPHOSPHORYL-CPLX_mod_pydx5p	MALDEXPHOSPHORYL-CPLX	pydx5p()	M_protein_recon
ORNDECARBOX-BIO-CPLX_mod_pydx5p	ORNDECARBOX-BIO-CPLX	pydx5p()	M_protein_recon
ORNDECARBOXDEG-CPLX_mod_pydx5p	ORNDECARBOXDEG-CPLX	pydx5p()	M_protein_recon
PSERTRANSAM-CPLX_mod_pydx5p	PSERTRANSAM-CPLX	pydx5p()	M_protein_recon
THREDEHYDCAT-CPLX_mod_pydx5p	THREDEHYDCAT-CPLX	pydx5p()	M_protein_recon
THREDEHYDSYN-CPLX_mod_pydx5p	THREDEHYDSYN-CPLX	pydx5p()	M_protein_recon
THRESYN-MONOMER_mod_pydx5p	THRESYN-MONOMER	pydx5p()	M_protein_recon
G7166-MONOMER_mod_pydx5p	G7166-MONOMER	pydx5p()	M_protein_recon
DSERDEAM-MONOMER_mod_pydx5p	DSERDEAM-MONOMER	pydx5p()	M_protein_recon
G7596-MONOMER_mod_pydx5p	G7596-MONOMER	pydx5p()	M_protein_recon
ACETYLORNTRANSAM-CPLX_mod_pydx5p	ACETYLORNTRANSAM-CPLX	pydx5p()	M_protein_recon
CARBODEHYDRAT-CPLX_mod_zn2	CARBODEHYDRAT-CPLX	zn2()	M_protein_recon
ALKAPHOSPHA-CPLX_mod_zn2_mod_mg2	ALKAPHOSPHA-CPLX	zn2() AND mg2()	M_protein_recon
THREODEHYD-CPLX_mod_zn2	THREODEHYD-CPLX	zn2()	M_protein_recon
CPLX0-7741_mod_adocbl	CPLX0-7741	adocbl()	M_protein_recon
CPLX0-7719_mod_4fe4s	CPLX0-7719	4fe4s()	M_protein_recon
EG12069-MONOMER_mod_fad	EG12069-MONOMER	fad()	M_protein_recon
BETAGALACTOSID-CPLX_mod_mg2	BETAGALACTOSID-CPLX	mg2()	M_protein_recon
PGMI-MONOMER_mod_mn2	PGMI-MONOMER	mn2()	M_protein_recon
UDPGLCNACEPIM-MONOMER_mod_nad	UDPGLCNACEPIM-MONOMER	nad()	M_protein_recon
DTDPGLUCDEHYDRAT2-MONOMER_mod_nad	DTDPGLUCDEHYDRAT2-MONOMER	nad()	M_protein_recon
GDPMANDEHYDRA-CPLX_mod_nadp	GDPMANDEHYDRA-CPLX	nadp()	M_protein_recon
SelA_deca_mod_10:pydx5p	SelA_deca	pydx5p(10)	M_protein_recon
LTAA-CPLX_mod_pydx5p	LTAA-CPLX	pydx5p()	M_protein_recon
G6646-MONOMER_mod_pydx5p	G6646-MONOMER	pydx5p()	M_protein_recon
USHA-MONOMER_mod_zn2	USHA-MONOMER	zn2()	M_protein_recon
CPLX0-253_mod_fad	CPLX0-253	fad()	M_protein_recon
AROH-CPLX_mod_fe3	AROH-CPLX	fe3()	M_protein_recon
GLYCRIBONUCSYN-MONOMER_mod_mg2	GLYCRIBONUCSYN-MONOMER	mg2()	M_protein_recon
BRANCHED-CHAINAMINOTRANSFER-CPLX_mod_6:pydx5p	BRANCHED-CHAINAMINOTRANSFER-CPLX	pydx5p(6)	M_protein_recon
AERGLYC3PDEHYDROG-CPLX_mod_1:fad	AERGLYC3PDEHYDROG-CPLX	fad(1)	M_protein_recon
SUCCORNTRANSAM-CPLX_mod_pydx5p	SUCCORNTRANSAM-CPLX	pydx5p()	M_protein_recon
ISOCITHASE-CPLX_mod_mn2	ISOCITHASE-CPLX	mn2()	M_protein_recon
ISOCITHASE-CPLX_mod_mg2	ISOCITHASE-CPLX	mg2()	M_protein_recon
CPLX0-250_FORMATEDEHYDROGH-MONOMER_mod_8:4fe4s_mod_2:2fe2s_mod_bmocogdp_mod_NiFeCoCN2	CPLX0-250_FORMATEDEHYDROGH-MONOMER	4fe4s(8) AND 2fe2s(2) AND bmocogdp() AND NiFeCoCN2()	M_protein_recon
G6523-MONOMER_G6518-MONOMER_mod_fmn	G6523-MONOMER_G6518-MONOMER	fmn()	M_protein_recon
EG10370-MONOMER_mod_mn2	EG10370-MONOMER	mn2()	M_protein_recon
NITRATREDUCTA-CPLX_mod_bmocogdp_mod_3fe4s_mod_4fe4s	NITRATREDUCTA-CPLX	bmocogdp() AND 3fe4s() AND 4fe4s()	M_protein_recon
FLAVONADPREDUCT-MONOMER_mod_fad	FLAVONADPREDUCT-MONOMER	fad()	M_protein_recon
NITRATREDUCTZ-CPLX_mod_bmocogdp_mod_2:pheme_mod_3:4fe4s_mod_1:3fe4s	NITRATREDUCTZ-CPLX	bmocogdp() AND pheme(2) AND 4fe4s(3) AND 3fe4s(1)	M_protein_recon
CPLX0-782_mod_2:4fe4s	CPLX0-782	4fe4s(2)	M_protein_recon
GCVMULTI-CPLX_mod_lipo	GCVMULTI-CPLX	lipo()	M_protein_recon
#CPLX0-7805_mod_fad_mod_mococdp_mod_2:2fe2s	CPLX0-7805	fad() AND mococdp() AND 2fe2s(2)	M_protein_recon
IMIDHISTID-CPLX_mod_mn2	IMIDHISTID-CPLX	mn2()	M_protein_recon
CPLX0-341_mod_fmn	CPLX0-341	fmn()	M_protein_recon
CPLX0-341_mod_mg2	CPLX0-341	mg2()	M_protein_recon
CPLX0-1261_mod_thmpp	CPLX0-1261	thmpp()	M_protein_recon
PUTA-CPLX_mod_fad	PUTA-CPLX	fad()	M_protein_recon
CPLX0-7652_mod_mn2	CPLX0-7652	mn2()	M_protein_recon
CPLX0-7466_mod_mg2	CPLX0-7466	mg2()	M_protein_recon
CPLX0-7643_mod_mg2	CPLX0-7643	mg2()	M_protein_recon
CPLX0-7904_mod_ca2	CPLX0-7904	ca2()	M_protein_recon
CYSTATHIONINE-BETA-LYASE-CPLX_mod_pydx5p	CYSTATHIONINE-BETA-LYASE-CPLX	pydx5p()	M_protein_recon
DHHB-METHYLTRANSFER-CPLX_mod_zn2	DHHB-METHYLTRANSFER-CPLX	zn2()	M_protein_recon
DHPDIOXYGEN-CPLX_mod_fe2	DHPDIOXYGEN-CPLX	fe2()	M_protein_recon
GSP-CPLX_mod_mg2	GSP-CPLX	mg2()	M_protein_recon
GUANYL-KIN-CPLX_mod_mg2	GUANYL-KIN-CPLX	mg2()	M_protein_recon
LysII_RS_dim_mod_6:mg2	LysII_RS_dim	mg2(6)	M_protein_recon
LysII_RS_dim_mod_lys_DASH_L	LysII_RS_dim	lys_DASH_L()	M_protein_recon
LYXK-CPLX_mod_mg2	LYXK-CPLX	mg2()	M_protein_recon
PDXK-CPLX_mod_zn2	PDXK-CPLX	zn2()	M_protein_recon
PDXK-CPLX_mod_mg2	PDXK-CPLX	mg2()	M_protein_recon
Ser_RS_dim_mod_mg2	Ser_RS_dim	mg2()	M_protein_recon
TYRB-DIMER_mod_pydx5p	TYRB-DIMER	pydx5p()	M_protein_recon
G6246-MONOMER_mod_mg2	G6246-MONOMER	mg2()	M_protein_recon
DIHYDROOROTOX-MONOMER_mod_fmn	DIHYDROOROTOX-MONOMER	fmn()	M_protein_recon
TDK-MONOMER_mod_mg2	TDK-MONOMER	mg2()	M_protein_recon
GARTRANSFORMYL2-MONOMER_mod_mg2	GARTRANSFORMYL2-MONOMER	mg2()	M_protein_recon
UXAC-MONOMER_mod_zn2	UXAC-MONOMER	zn2()	M_protein_recon
SPOT-MONOMER_mod_mn2	SPOT-MONOMER	mn2()	M_protein_recon
6PFK-1-CPX_mod_mg2	6PFK-1-CPX	mg2()	M_protein_recon
ASPAMINOTRANS-DIMER_mod_pydx5p	ASPAMINOTRANS-DIMER	pydx5p()	M_protein_recon
BRANCHED-CHAINAMINOTRANSFER-CPLX_mod_pydx5p	BRANCHED-CHAINAMINOTRANSFER-CPLX	pydx5p()	M_protein_recon
USHA-MONOMER_mod_cobalt2	USHA-MONOMER	cobalt2()	M_protein_recon
CMPKI-MONOMER_mod_mg2	CMPKI-MONOMER	mg2()	M_protein_recon
FLAVODOXIN1-MONOMER_mod_Oxidized	FLAVODOXIN1-MONOMER	Oxidized()	M_protein_recon
FLAVODOXIN2-MONOMER_mod_Oxidized	FLAVODOXIN2-MONOMER	Oxidized()	M_protein_recon
GLUTAREDOXIN-MONOMER_mod_Oxidized	GLUTAREDOXIN-MONOMER	Oxidized()	M_protein_recon
GRXB-MONOMER_mod_Oxidized	GRXB-MONOMER	Oxidized()	M_protein_recon
CPLX0-7817_mod_Oxidized	CPLX0-7817	Oxidized()	M_protein_recon
GRXC-MONOMER_mod_Oxidized	GRXC-MONOMER	Oxidized()	M_protein_recon
IscU_mod_1:2fe2s	IscU	2fe2s(1)	M_protein_recon
IscU_mod_2:2fe2s	IscU	2fe2s(2)	M_protein_recon
IscU_mod_1:4fe4s	IscU	4fe4s(1)	M_protein_recon
CPLX0-246_CPLX0-1342_mod_1:SH	CPLX0-246_CPLX0-1342	SH(1)	M_protein_recon
CPLX0-1341_mod_1:2fe2s	CPLX0-1341	2fe2s(1)	M_protein_recon
CPLX0-1341_mod_2:2fe2s	CPLX0-1341	2fe2s(2)	M_protein_recon
CPLX0-1341_mod_1:4fe4s	CPLX0-1341	4fe4s(1)	M_protein_recon
EG10544-MONOMER_mod_palmitate	EG10544-MONOMER	palmitate()	M_protein_recon
DSBG-CPLX_mod_Oxidized	DSBG-CPLX	Oxidized()	M_protein_recon
DSBD-MONOMER_mod_Oxidized	DSBD-MONOMER	Oxidized()	M_protein_recon
DSBC-CPLX_mod_Oxidized	DSBC-CPLX	Oxidized()	M_protein_recon
#DISULFOXRED-MONOMER_mod_Oxidized	DISULFOXRED-MONOMER	Oxidized()	M_protein_recon
EG11597-MONOMER_mod_amp	EG11597-MONOMER	amp()	M_protein_recon
EG11597-MONOMER_mod_coo	EG11597-MONOMER	coo()	M_protein_recon
EG11597-MONOMER_mod_cosh	EG11597-MONOMER	cosh()	M_protein_recon
RED-THIOREDOXIN-MONOMER_mod_Oxidized	RED-THIOREDOXIN-MONOMER	Oxidized()	M_protein_recon
RED-THIOREDOXIN2-MONOMER_mod_Oxidized	RED-THIOREDOXIN2-MONOMER	Oxidized()	M_protein_recon
EG50003-MONOMER_mod_pan4p	EG50003-MONOMER	pan4p()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_ac	EG50003-MONOMER	pan4p() AND ac()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_mal	EG50003-MONOMER	pan4p() AND mal()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_but2e	EG50003-MONOMER	pan4p() AND but2e()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_act	EG50003-MONOMER	pan4p() AND act()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_but	EG50003-MONOMER	pan4p() AND but()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_3ha	EG50003-MONOMER	pan4p() AND 3ha()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_egme	EG50003-MONOMER	pan4p() AND egme()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_ogme	EG50003-MONOMER	pan4p() AND ogme()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_gme	EG50003-MONOMER	pan4p() AND gme()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_hgme	EG50003-MONOMER	pan4p() AND hgme()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_thex2e	EG50003-MONOMER	pan4p() AND thex2e()	M_protein_recon
EG50003-MONOMER_mod_pan4p_mod_3ohex	EG50003-MONOMER	pan4p() AND 3ohex()	M_protein_recon
